Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ss_Plate19.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-20 19:38:34 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,N_T0_R2_Ss_S1-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,N_T0_R2_Ss_S1-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,N_T0_R2_Ss_S1-8,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1172828674,20.0620326996,0.0781355351,,,,0,0.02,1,3,17,,N,N,N
A4,N_T0_R2_Ss_S1-8,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0067825317,20.0620326996,0.0781355351,,,,0,0.02,1,3,18,,N,N,N
A5,N_T0_R2_Ss_S1-8,C,UNKNOWN,VIC,NFQ-MGB,28.8588676453,28.8228206635,0.0509781316,,,,0,0.02,1,3,27,,N,N,N
A5,N_T0_R2_Ss_S1-8,D,UNKNOWN,FAM,NFQ-MGB,25.8547878265,25.7211551666,0.1889851242,,,,0,0.02,1,3,24,,N,N,N
A6,N_T0_R2_Ss_S1-8,C,UNKNOWN,VIC,NFQ-MGB,28.7867736816,28.8228206635,0.0509781316,,,,0,0.02,1,3,27,,N,N,N
A6,N_T0_R2_Ss_S1-8,D,UNKNOWN,FAM,NFQ-MGB,25.5875225067,25.7211551666,0.1889851242,,,,0,0.02,1,3,23,,N,N,N
A7,N_T0_R2_Ss_S5-17,C,UNKNOWN,VIC,NFQ-MGB,32.2975654602,32.1199569702,0.2511776984,,,,0,0.02,1,3,31,,N,N,N
A7,N_T0_R2_Ss_S5-17,D,UNKNOWN,FAM,NFQ-MGB,24.5168952942,24.6367301941,0.169470787,,,,0,0.02,1,3,22,,N,N,N
A8,N_T0_R2_Ss_S5-17,C,UNKNOWN,VIC,NFQ-MGB,31.9423465729,32.1199569702,0.2511776984,,,,0,0.02,1,3,31,,N,N,N
A8,N_T0_R2_Ss_S5-17,D,UNKNOWN,FAM,NFQ-MGB,24.7565631866,24.6367301941,0.169470787,,,,0,0.02,1,3,23,,N,N,N
A9,N_T0_R2_Ss_S5-17,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6601581573,22.7974147797,0.19411017,,,,0,0.02,1,3,21,,N,N,N
A10,N_T0_R2_Ss_S5-17,Ssid,UNKNOWN,FAM,NFQ-MGB,22.934671402,22.7974147797,0.19411017,,,,0,0.02,1,3,21,,N,N,N
A11,N_T0_R2_Ss_S5-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A12,N_T0_R2_Ss_S5-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,N_T0_R2_Ss_S1-30,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,N_T0_R2_Ss_S1-30,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,N_T0_R2_Ss_S1-30,Ssid,UNKNOWN,FAM,NFQ-MGB,19.4770469666,19.4354133606,0.0588801578,,,,0,0.02,1,3,17,,N,N,N
B4,N_T0_R2_Ss_S1-30,Ssid,UNKNOWN,FAM,NFQ-MGB,19.3937778473,19.4354133606,0.0588801578,,,,0,0.02,1,3,17,,N,N,N
B5,N_T0_R2_Ss_S1-30,C,UNKNOWN,VIC,NFQ-MGB,27.8980484009,27.9043502808,0.0089122038,,,,0,0.02,1,3,26,,N,N,N
B5,N_T0_R2_Ss_S1-30,D,UNKNOWN,FAM,NFQ-MGB,26.7946014404,26.9701309204,0.2482348233,,,,0,0.02,1,3,25,,N,N,N
B6,N_T0_R2_Ss_S1-30,C,UNKNOWN,VIC,NFQ-MGB,27.9106521606,27.9043502808,0.0089122038,,,,0,0.02,1,3,26,,N,N,N
B6,N_T0_R2_Ss_S1-30,D,UNKNOWN,FAM,NFQ-MGB,27.145658493,26.9701309204,0.2482348233,,,,0,0.02,1,3,25,,N,N,N
B7,N_T0_R2_Ss_S5-18,C,UNKNOWN,VIC,NFQ-MGB,29.9286823273,29.622385025,0.433169812,,,,0,0.02,1,3,28,,N,N,N
B7,N_T0_R2_Ss_S5-18,D,UNKNOWN,FAM,NFQ-MGB,25.1838665009,25.1931762695,0.0131646525,,,,0,0.02,1,3,23,,N,N,N
B8,N_T0_R2_Ss_S5-18,C,UNKNOWN,VIC,NFQ-MGB,29.3160877228,29.622385025,0.433169812,,,,0,0.02,1,3,28,,N,N,N
B8,N_T0_R2_Ss_S5-18,D,UNKNOWN,FAM,NFQ-MGB,25.2024841309,25.1931762695,0.0131646525,,,,0,0.02,1,3,23,,N,N,N
B9,N_T0_R2_Ss_S5-18,Ssid,UNKNOWN,FAM,NFQ-MGB,23.6137294769,23.7092208862,0.1350439042,,,,0,0.02,1,3,21,,N,N,N
B10,N_T0_R2_Ss_S5-18,Ssid,UNKNOWN,FAM,NFQ-MGB,23.8047103882,23.7092208862,0.1350439042,,,,0,0.02,1,3,21,,N,N,N
B11,N_T0_R2_Ss_S5-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,N_T0_R2_Ss_S5-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C1,N_T0_R2_Ss_S2-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C2,N_T0_R2_Ss_S2-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,N_T0_R2_Ss_S2-7,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0108852386,21.8758487701,0.1909704059,,,,0,0.02,1,3,20,,N,N,N
C4,N_T0_R2_Ss_S2-7,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7408123016,21.8758487701,0.1909704059,,,,0,0.02,1,3,19,,N,N,N
C5,N_T0_R2_Ss_S2-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C5,N_T0_R2_Ss_S2-7,D,UNKNOWN,FAM,NFQ-MGB,25.3894500732,25.5366325378,0.2081460953,,,,0,0.02,1,3,23,,N,Y,Y
C6,N_T0_R2_Ss_S2-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C6,N_T0_R2_Ss_S2-7,D,UNKNOWN,FAM,NFQ-MGB,25.6838130951,25.5366325378,0.2081460953,,,,0,0.02,1,3,24,,N,Y,Y
C7,N_T0_R2_Ss_S6-27,C,UNKNOWN,VIC,NFQ-MGB,34.3329086304,35.0750198364,1.0495010614,,,,0,0.02,1,3,33,,Y,N,N
C7,N_T0_R2_Ss_S6-27,D,UNKNOWN,FAM,NFQ-MGB,23.9481143951,23.9729557037,0.0351309143,,,,0,0.02,1,3,22,,Y,N,N
C8,N_T0_R2_Ss_S6-27,C,UNKNOWN,VIC,NFQ-MGB,35.8171272278,35.0750198364,1.0495010614,,,,0,0.02,1,3,35,,Y,N,N
