Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate26.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-29 15:20:51 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NP_T1_R1_Ss_S1-15,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,NP_T1_R1_Ss_S1-15,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,NP_T1_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2861480713,20.2489280701,0.052638378,,,,1,0.02,1,3,17,,N,N,N
A4,NP_T1_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2117061615,20.2489280701,0.052638378,,,,1,0.02,1,3,18,,N,N,N
A5,NP_T1_R1_Ss_S1-15,C,UNKNOWN,VIC,NFQ-MGB,27.661157608,27.8665504456,0.2904679775,,,,1,0.02,1,3,26,,Y,N,N
A5,NP_T1_R1_Ss_S1-15,D,UNKNOWN,FAM,NFQ-MGB,28.8805007935,29.4721660614,0.8367410302,,,,1,0.02,1,3,27,,Y,N,N
A6,NP_T1_R1_Ss_S1-15,C,UNKNOWN,VIC,NFQ-MGB,28.0719413757,27.8665504456,0.2904679775,,,,1,0.02,1,3,26,,Y,N,N
A6,NP_T1_R1_Ss_S1-15,D,UNKNOWN,FAM,NFQ-MGB,30.0638313293,29.4721660614,0.8367410302,,,,1,0.02,1,3,28,,Y,N,N
A7,NP_T1_R1_Ss_S5-1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.2166061401,,,,,1,0.02,1,3,39,,N,Y,Y
A7,NP_T1_R1_Ss_S5-1,D,UNKNOWN,FAM,NFQ-MGB,27.9796638489,27.8455085754,0.1897228658,,,,1,0.02,1,3,26,,N,Y,Y
A8,NP_T1_R1_Ss_S5-1,C,UNKNOWN,VIC,NFQ-MGB,37.2166061401,37.2166061401,,,,,1,0.02,1,3,31,,N,N,N
A8,NP_T1_R1_Ss_S5-1,D,UNKNOWN,FAM,NFQ-MGB,27.7113552094,27.8455085754,0.1897228658,,,,1,0.02,1,3,26,,N,N,N
A9,NP_T1_R1_Ss_S5-1,Ssid,UNKNOWN,FAM,NFQ-MGB,21.8886070251,22.3348083496,0.6310239434,,,,1,0.02,1,3,20,,Y,N,N
A10,NP_T1_R1_Ss_S5-1,Ssid,UNKNOWN,FAM,NFQ-MGB,22.7810096741,22.3348083496,0.6310239434,,,,1,0.02,1,3,20,,Y,N,N
A11,NP_T1_R1_Ss_S5-1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,NP_T1_R1_Ss_S5-1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B1,NP_T1_R1_Ss_S1-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,NP_T1_R1_Ss_S1-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
