Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate42.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-23 17:14:30 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,D_T2_R1_Ss_S1-4,C,UNKNOWN,VIC,NFQ-MGB,27.7942905426,27.3957366943,0.5636389256,,,,0,0.02,1,3,26,Comments,Y,N,N
A1,D_T2_R1_Ss_S1-4,D,UNKNOWN,FAM,NFQ-MGB,27.566034317,27.3348350525,0.3269664943,,,,0,0.02,1,3,26,Comments,Y,N,N
A2,D_T2_R1_Ss_S1-19,C,UNKNOWN,VIC,NFQ-MGB,31.9247055054,31.1797828674,1.053481102,,,,0,0.02,1,3,31,,Y,N,N
A2,D_T2_R1_Ss_S1-19,D,UNKNOWN,FAM,NFQ-MGB,24.6281833649,24.5519218445,0.1078487262,,,,0,0.02,1,3,22,,Y,N,N
A3,D_T2_R1_Ss_S2-20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,D_T2_R1_Ss_S2-20,D,UNKNOWN,FAM,NFQ-MGB,25.1428356171,25.1467895508,0.0055903578,,,,0,0.02,1,3,23,,N,N,Y
A4,D_T2_R1_Ss_S2-29,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,D_T2_R1_Ss_S2-29,D,UNKNOWN,FAM,NFQ-MGB,24.6303462982,24.5747127533,0.0786777139,,,,0,0.02,1,3,23,,N,N,Y
A5,D_T2_R1_Ss_S3-3,C,UNKNOWN,VIC,NFQ-MGB,27.3536777496,27.4173202515,0.0900027379,,,,0,0.02,1,3,25,,N,N,N
A5,D_T2_R1_Ss_S3-3,D,UNKNOWN,FAM,NFQ-MGB,25.4274768829,25.3683128357,0.0836719498,,,,0,0.02,1,3,23,,N,N,N
A6,D_T2_R1_Ss_S3-19,C,UNKNOWN,VIC,NFQ-MGB,28.8121070862,28.6493091583,0.2302310318,,,,0,0.02,1,3,27,,N,N,N
A6,D_T2_R1_Ss_S3-19,D,UNKNOWN,FAM,NFQ-MGB,25.9753036499,25.8813476563,0.1328751892,,,,0,0.02,1,3,24,,N,N,N
A7,D_T2_R1_Ss_S4-21,C,UNKNOWN,VIC,NFQ-MGB,28.5806159973,28.8179283142,0.3356116414,,,,0,0.02,1,3,27,,N,N,N
A7,D_T2_R1_Ss_S4-21,D,UNKNOWN,FAM,NFQ-MGB,24.8893985748,24.906496048,0.0241794791,,,,0,0.02,1,3,23,,N,N,N
A8,D_T2_R1_Ss_S4-30,C,UNKNOWN,VIC,NFQ-MGB,28.9428577423,29.2748756409,0.4695442021,,,,0,0.02,1,3,27,,N,N,N
A8,D_T2_R1_Ss_S4-30,D,UNKNOWN,FAM,NFQ-MGB,24.1022605896,24.3415393829,0.338391304,,,,0,0.02,1,3,22,,N,N,N
A9,D_T2_R1_Ss_S5-3,C,UNKNOWN,VIC,NFQ-MGB,33.5474777222,34.1890640259,0.9073400497,,,,0,0.02,1,3,28,,Y,N,N
A9,D_T2_R1_Ss_S5-3,D,UNKNOWN,FAM,NFQ-MGB,26.1597576141,26.3755569458,0.3051877022,,,,0,0.02,1,3,24,,Y,N,N
A10,D_T2_R1_Ss_S5-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A10,D_T2_R1_Ss_S5-22,D,UNKNOWN,FAM,NFQ-MGB,24.7062911987,24.7566337585,0.0711937845,,,,0,0.02,1,3,23,,N,N,Y
A11,D_T2_R1_Ss_S6-9,C,UNKNOWN,VIC,NFQ-MGB,32.1833496094,32.1833496094,,,,,0,0.02,1,3,28,,N,N,N
A11,D_T2_R1_Ss_S6-9,D,UNKNOWN,FAM,NFQ-MGB,25.2100257874,25.2448120117,0.0491951518,,,,0,0.02,1,3,23,,N,N,N
