Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate37.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-16 19:08:36 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,D_T0_R1_Ss_S1-4,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3930644989,20.8760356903,0.7311891317,,,,0,0.02,1,3,19,,Y,N,N
A2,D_T0_R1_Ss_S1-19,Ssid,UNKNOWN,FAM,NFQ-MGB,20.5474758148,20.2609176636,0.4052557647,,,,0,0.02,1,3,18,,N,N,N
A3,D_T0_R1_Ss_S2-20,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9672451019,20.7258720398,0.3413530588,,,,0,0.02,1,3,19,,N,N,N
A4,D_T0_R1_Ss_S2-29,Ssid,UNKNOWN,FAM,NFQ-MGB,21.8561115265,21.5317497253,0.4587168694,,,,0,0.02,1,3,20,,N,N,N
A5,D_T0_R1_Ss_S3-3,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9093570709,20.9832687378,0.1045255363,,,,0,0.02,1,3,19,,N,N,N
A6,D_T0_R1_Ss_S3-19,Ssid,UNKNOWN,FAM,NFQ-MGB,20.5890426636,20.4201431274,0.2388600111,,,,0,0.02,1,3,18,,N,N,N
A7,D_T0_R1_Ss_S4-21,Ssid,UNKNOWN,FAM,NFQ-MGB,20.28373909,20.2294578552,0.0767666101,,,,0,0.02,1,3,18,,N,N,N
A8,D_T0_R1_Ss_S4-30,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9774799347,20.6873054504,0.4103673398,,,,0,0.02,1,3,18,,N,N,N
A9,D_T0_R1_Ss_S5-3,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6916866302,20.667678833,0.0339535028,,,,0,0.02,1,3,18,,N,N,N
A10,D_T0_R1_Ss_S5-22,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9239025116,21.4596195221,0.6565952897,,,,0,0.02,1,3,19,,Y,N,N
