Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate3_2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-05 19:30:41 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,C_T0_R1_Ss_S1-10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,C_T0_R1_Ss_S1-26,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,C_T0_R1_Ss_S2-11,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,C_T0_R1_Ss_S2-22,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A5,C_T0_R1_Ss_S3-18,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A6,C_T0_R1_Ss_S3-29,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A7,C_T0_R1_Ss_S4-8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A8,C_T0_R1_Ss_S4-12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A9,C_T0_R1_Ss_S5-9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A10,C_T0_R1_Ss_S5-24,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A11,C_T0_R1_Ss_S6-5,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A12,C_T0_R1_Ss_S6-20,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B1,C_T0_R1_Ss_S1-10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,C_T0_R1_Ss_S1-26,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,C_T0_R1_Ss_S2-11,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B4,C_T0_R1_Ss_S2-22,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B5,C_T0_R1_Ss_S3-18,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B6,C_T0_R1_Ss_S3-29,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B7,C_T0_R1_Ss_S4-8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B8,C_T0_R1_Ss_S4-12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B9,C_T0_R1_Ss_S5-9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B10,C_T0_R1_Ss_S5-24,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B11,C_T0_R1_Ss_S6-5,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,C_T0_R1_Ss_S6-20,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C1,C_T0_R1_Ss_S1-10,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2412986755,21.9454956055,0.4183273613,,,,0,0.02,1,3,20,,N,N,N
C2,C_T0_R1_Ss_S1-26,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2915935516,21.2595939636,0.0452542529,,,,0,0.02,1,3,19,,N,N,N
C3,C_T0_R1_Ss_S2-11,Ssid,UNKNOWN,FAM,NFQ-MGB,21.202009201,20.9275131226,0.388197422,,,,0,0.02,1,3,19,,N,N,N
C4,C_T0_R1_Ss_S2-22,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6956214905,20.3496627808,0.4892581403,,,,0,0.02,1,3,18,,N,N,N
C5,C_T0_R1_Ss_S3-18,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5146884918,21.5688018799,0.0765265375,,,,0,0.02,1,3,19,,N,N,N
C6,C_T0_R1_Ss_S3-29,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2986030579,22.142539978,0.2207065225,,,,0,0.02,1,3,19,,N,N,N
C7,C_T0_R1_Ss_S4-8,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0102043152,21.1237754822,0.1606138796,,,,0,0.02,1,3,19,,N,N,N
C8,C_T0_R1_Ss_S4-12,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4472312927,23.1201820374,0.462516129,,,,0,0.02,1,3,21,,N,N,N
C9,C_T0_R1_Ss_S5-9,Ssid,UNKNOWN,FAM,NFQ-MGB,24.3928394318,24.8087100983,0.5881299376,,,,0,0.02,1,3,21,,Y,N,N
C10,C_T0_R1_Ss_S5-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0824508667,21.5380821228,0.6443598866,,,,0,0.02,1,3,19,,Y,N,N
C11,C_T0_R1_Ss_S6-5,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9005622864,21.5531005859,0.4913850427,,,,0,0.02,1,3,20,,N,N,N
C12,C_T0_R1_Ss_S6-20,Ssid,UNKNOWN,FAM,NFQ-MGB,23.698091507,23.4038543701,0.4161141515,,,,0,0.02,1,3,21,,N,N,N
D1,C_T0_R1_Ss_S1-10,Ssid,UNKNOWN,FAM,NFQ-MGB,21.6496944427,21.9454956055,0.4183273613,,,,0,0.02,1,3,19,,N,N,N
D2,C_T0_R1_Ss_S1-26,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2275943756,21.2595939636,0.0452542529,,,,0,0.02,1,3,18,,N,N,N
D3,C_T0_R1_Ss_S2-11,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6530151367,20.9275131226,0.388197422,,,,0,0.02,1,3,18,,N,N,N
D4,C_T0_R1_Ss_S2-22,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0037059784,20.3496627808,0.4892581403,,,,0,0.02,1,3,17,,N,N,N
D5,C_T0_R1_Ss_S3-18,Ssid,UNKNOWN,FAM,NFQ-MGB,21.6229133606,21.5688018799,0.0765265375,,,,0,0.02,1,3,19,,N,N,N
