Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate6.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-06 20:25:53 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ SD,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
B2,N_T2_R1_Ss_S1-25,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,N_T2_R1_Ss_S2-21,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B4,N_T2_R1_Ss_S2-24,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,34,,N,Y,N
B5,N_T2_R1_Ss_S3-8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B6,N_T2_R1_Ss_S3-10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B7,N_T2_R1_Ss_S4-19,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B8,N_T2_R1_Ss_S4-29,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B9,N_T2_R1_Ss_S5-7,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B10,N_T2_R1_Ss_S5-11,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B11,N_T2_R1_Ss_S6-24,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,N_T2_R1_Ss_S6-28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C1,N_T2_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,25.1610641479,24.7506084442,0.5804720521,,,,1,0.02,1,3,23,,Y,N,N
C2,N_T2_R1_Ss_S1-25,Ssid,UNKNOWN,FAM,NFQ-MGB,24.1764450073,24.330368042,0.2176786959,,,,1,0.02,1,3,22,,N,N,N
C3,N_T2_R1_Ss_S2-21,Ssid,UNKNOWN,FAM,NFQ-MGB,21.100643158,20.990694046,0.1554915309,,,,1,0.02,1,3,19,,N,N,N
C4,N_T2_R1_Ss_S2-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2163772583,21.1540260315,0.0881766006,,,,1,0.02,1,3,19,,N,N,N
C5,N_T2_R1_Ss_S3-8,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4151134491,23.4777984619,0.0886486471,,,,1,0.02,1,3,21,,N,N,N
C6,N_T2_R1_Ss_S3-10,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7167987823,24.0592079163,0.484240979,,,,1,0.02,1,3,22,,N,N,N
C7,N_T2_R1_Ss_S4-19,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7741756439,23.4145965576,0.5085229874,,,,1,0.02,1,3,22,,Y,N,N
C8,N_T2_R1_Ss_S4-29,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5132045746,22.4424781799,0.1000235751,,,,1,0.02,1,3,20,,N,N,N
C9,N_T2_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,24.4380168915,24.09557724,0.4842827916,,,,1,0.02,1,3,22,,N,N,N
C10,N_T2_R1_Ss_S5-11,Ssid,UNKNOWN,FAM,NFQ-MGB,25.0569210052,24.9071521759,0.2118051052,,,,1,0.02,1,3,23,,N,N,N
C11,N_T2_R1_Ss_S6-24,Ssid,UNKNOWN,FAM,NFQ-MGB,22.55427742,22.6260261536,0.1014680341,,,,1,0.02,1,3,20,,N,N,N
C12,N_T2_R1_Ss_S6-28,Ssid,UNKNOWN,FAM,NFQ-MGB,25.8892650604,25.9503288269,0.0863585547,,,,1,0.02,1,3,23,,N,N,N
D1,N_T2_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,24.3401527405,24.7506084442,0.5804720521,,,,1,0.02,1,3,21,,Y,N,N
D2,N_T2_R1_Ss_S1-25,Ssid,UNKNOWN,FAM,NFQ-MGB,24.4842891693,24.330368042,0.2176786959,,,,1,0.02,1,3,22,,N,N,N
D3,N_T2_R1_Ss_S2-21,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8807449341,20.990694046,0.1554915309,,,,1,0.02,1,3,18,,N,N,N
D4,N_T2_R1_Ss_S2-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.091676712,21.1540260315,0.0881766006,,,,1,0.02,1,3,18,,N,N,N
D5,N_T2_R1_Ss_S3-8,Ssid,UNKNOWN,FAM,NFQ-MGB,23.5404815674,23.4777984619,0.0886486471,,,,1,0.02,1,3,21,,N,N,N
D6,N_T2_R1_Ss_S3-10,Ssid,UNKNOWN,FAM,NFQ-MGB,24.4016189575,24.0592079163,0.484240979,,,,1,0.02,1,3,22,,N,N,N
D7,N_T2_R1_Ss_S4-19,Ssid,UNKNOWN,FAM,NFQ-MGB,23.055015564,23.4145965576,0.5085229874,,,,1,0.02,1,3,21,,Y,N,N
D8,N_T2_R1_Ss_S4-29,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3717498779,22.4424781799,0.1000235751,,,,1,0.02,1,3,20,,N,N,N
D9,N_T2_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7531375885,24.09557724,0.4842827916,,,,1,0.02,1,3,22,,N,N,N
D10,N_T2_R1_Ss_S5-11,Ssid,UNKNOWN,FAM,NFQ-MGB,24.7573833466,24.9071521759,0.2118051052,,,,1,0.02,1,3,22,,N,N,N
D11,N_T2_R1_Ss_S6-24,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6977748871,22.6260261536,0.1014680341,,,,1,0.02,1,3,20,,N,N,N
D12,N_T2_R1_Ss_S6-28,Ssid,UNKNOWN,FAM,NFQ-MGB,26.0113945007,25.9503288269,0.0863585547,,,,1,0.02,1,3,23,,N,N,N
E1,N_T2_R1_Ss_S1-17,C,UNKNOWN,VIC,NFQ-MGB,32.1587982178,32.3031921387,0.204201147,,,,1,0.02,1,3,30,,N,N,N
E1,N_T2_R1_Ss_S1-17,D,UNKNOWN,FAM,NFQ-MGB,33.8920974731,33.8920974731,,,,,1,0.02,1,3,32,,N,N,N
E2,N_T2_R1_Ss_S1-25,C,UNKNOWN,VIC,NFQ-MGB,30.797750473,31.0990028381,0.4260365367,,,,1,0.02,1,3,29,,N,Y,Y
E2,N_T2_R1_Ss_S1-25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
E3,N_T2_R1_Ss_S2-21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
E3,N_T2_R1_Ss_S2-21,D,UNKNOWN,FAM,NFQ-MGB,26.2597961426,26.1980171204,0.0873687342,,,,1,0.02,1,3,24,,N,Y,Y
E4,N_T2_R1_Ss_S2-24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,Y,Y,Y
E4,N_T2_R1_Ss_S2-24,D,UNKNOWN,FAM,NFQ-MGB,25.9955635071,26.4056510925,0.5799527764,,,,1,0.02,1,3,24,,Y,Y,Y
E5,N_T2_R1_Ss_S3-8,C,UNKNOWN,VIC,NFQ-MGB,27.8166351318,27.5838737488,0.3291756511,,,,1,0.02,1,3,26,,N,N,N
E5,N_T2_R1_Ss_S3-8,D,UNKNOWN,FAM,NFQ-MGB,29.5,29.5551719666,0.0780249462,,,,1,0.02,1,3,27,,N,N,N
E6,N_T2_R1_Ss_S3-10,C,UNKNOWN,VIC,NFQ-MGB,29.47631073,29.0785293579,0.5625491738,,,,1,0.02,1,3,28,,Y,N,N
E6,N_T2_R1_Ss_S3-10,D,UNKNOWN,FAM,NFQ-MGB,28.5735015869,28.5799236298,0.0090821404,,,,1,0.02,1,3,26,,Y,N,N
E7,N_T2_R1_Ss_S4-19,C,UNKNOWN,VIC,NFQ-MGB,27.3225078583,26.8463096619,0.67344594,,,,1,0.02,1,3,25,,Y,N,N
E7,N_T2_R1_Ss_S4-19,D,UNKNOWN,FAM,NFQ-MGB,29.1510848999,28.8539505005,0.4202101529,,,,1,0.02,1,3,27,,Y,N,N
E8,N_T2_R1_Ss_S4-29,C,UNKNOWN,VIC,NFQ-MGB,26.5986671448,26.4880886078,0.1563816667,,,,1,0.02,1,3,25,,N,N,N
E8,N_T2_R1_Ss_S4-29,D,UNKNOWN,FAM,NFQ-MGB,29.3212451935,29.0857963562,0.3329735994,,,,1,0.02,1,3,27,,N,N,N
E9,N_T2_R1_Ss_S5-7,C,UNKNOWN,VIC,NFQ-MGB,30.1856117249,30.1526451111,0.046621833,,,,1,0.02,1,3,28,,N,N,N
E9,N_T2_R1_Ss_S5-7,D,UNKNOWN,FAM,NFQ-MGB,26.7788619995,26.8739318848,0.1344504654,,,,1,0.02,1,3,25,,N,N,N
E10,N_T2_R1_Ss_S5-11,C,UNKNOWN,VIC,NFQ-MGB,32.8757858276,32.294883728,0.8215222955,,,,1,0.02,1,3,31,,Y,N,N
E10,N_T2_R1_Ss_S5-11,D,UNKNOWN,FAM,NFQ-MGB,26.9182243347,26.8738651276,0.0627333894,,,,1,0.02,1,3,25,,Y,N,N
E11,N_T2_R1_Ss_S6-24,C,UNKNOWN,VIC,NFQ-MGB,34.2450218201,33.6134033203,0.8932407498,,,,1,0.02,1,3,33,,Y,N,N
E11,N_T2_R1_Ss_S6-24,D,UNKNOWN,FAM,NFQ-MGB,27.1220588684,26.9061489105,0.3053427935,,,,1,0.02,1,3,25,,Y,N,N
E12,N_T2_R1_Ss_S6-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
E12,N_T2_R1_Ss_S6-28,D,UNKNOWN,FAM,NFQ-MGB,28.919216156,29.0425262451,0.1743881553,,,,1,0.02,1,3,27,,N,Y,Y
F1,N_T2_R1_Ss_S1-17,C,UNKNOWN,VIC,NFQ-MGB,32.4475822449,32.3031921387,0.204201147,,,,1,0.02,1,3,31,,N,N,Y
F1,N_T2_R1_Ss_S1-17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.8920974731,,,,,1,0.02,1,3,39,,N,N,Y
F2,N_T2_R1_Ss_S1-25,C,UNKNOWN,VIC,NFQ-MGB,31.4002571106,31.0990028381,0.4260365367,,,,1,0.02,1,3,30,,N,Y,Y
F2,N_T2_R1_Ss_S1-25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F3,N_T2_R1_Ss_S2-21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F3,N_T2_R1_Ss_S2-21,D,UNKNOWN,FAM,NFQ-MGB,26.1362380981,26.1980171204,0.0873687342,,,,1,0.02,1,3,24,,N,Y,Y
F4,N_T2_R1_Ss_S2-24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,Y,Y,Y
F4,N_T2_R1_Ss_S2-24,D,UNKNOWN,FAM,NFQ-MGB,26.8157405853,26.4056510925,0.5799527764,,,,1,0.02,1,3,25,,Y,Y,Y
F5,N_T2_R1_Ss_S3-8,C,UNKNOWN,VIC,NFQ-MGB,27.3511104584,27.5838737488,0.3291756511,,,,1,0.02,1,3,26,,N,N,N
F5,N_T2_R1_Ss_S3-8,D,UNKNOWN,FAM,NFQ-MGB,29.6103439331,29.5551719666,0.0780249462,,,,1,0.02,1,3,28,,N,N,N
F6,N_T2_R1_Ss_S3-10,C,UNKNOWN,VIC,NFQ-MGB,28.6807460785,29.0785293579,0.5625491738,,,,1,0.02,1,3,27,,Y,N,N
F6,N_T2_R1_Ss_S3-10,D,UNKNOWN,FAM,NFQ-MGB,28.5863456726,28.5799236298,0.0090821404,,,,1,0.02,1,3,27,,Y,N,N
F7,N_T2_R1_Ss_S4-19,C,UNKNOWN,VIC,NFQ-MGB,26.3701114655,26.8463096619,0.67344594,,,,1,0.02,1,3,25,,Y,N,N
F7,N_T2_R1_Ss_S4-19,D,UNKNOWN,FAM,NFQ-MGB,28.5568180084,28.8539505005,0.4202101529,,,,1,0.02,1,3,27,,Y,N,N
F8,N_T2_R1_Ss_S4-29,C,UNKNOWN,VIC,NFQ-MGB,26.3775100708,26.4880886078,0.1563816667,,,,1,0.02,1,3,24,,N,N,N
F8,N_T2_R1_Ss_S4-29,D,UNKNOWN,FAM,NFQ-MGB,28.8503494263,29.0857963562,0.3329735994,,,,1,0.02,1,3,27,,N,N,N
F9,N_T2_R1_Ss_S5-7,C,UNKNOWN,VIC,NFQ-MGB,30.1196784973,30.1526451111,0.046621833,,,,1,0.02,1,3,28,,N,N,N
F9,N_T2_R1_Ss_S5-7,D,UNKNOWN,FAM,NFQ-MGB,26.9690036774,26.8739318848,0.1344504654,,,,1,0.02,1,3,25,,N,N,N
F10,N_T2_R1_Ss_S5-11,C,UNKNOWN,VIC,NFQ-MGB,31.7139778137,32.294883728,0.8215222955,,,,1,0.02,1,3,30,,Y,N,N
F10,N_T2_R1_Ss_S5-11,D,UNKNOWN,FAM,NFQ-MGB,26.8295059204,26.8738651276,0.0627333894,,,,1,0.02,1,3,25,,Y,N,N
F11,N_T2_R1_Ss_S6-24,C,UNKNOWN,VIC,NFQ-MGB,32.9817886353,33.6134033203,0.8932407498,,,,1,0.02,1,3,31,,Y,N,N
F11,N_T2_R1_Ss_S6-24,D,UNKNOWN,FAM,NFQ-MGB,26.6902389526,26.9061489105,0.3053427935,,,,1,0.02,1,3,25,,Y,N,N
F12,N_T2_R1_Ss_S6-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
F12,N_T2_R1_Ss_S6-28,D,UNKNOWN,FAM,NFQ-MGB,29.1658382416,29.0425262451,0.1743881553,,,,1,0.02,1,3,27,,N,Y,Y
G1,N_T2_R1_Ss_S1-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
G2,N_T2_R1_Ss_S1-25,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
G3,N_T2_R1_Ss_S2-21,B,UNKNOWN,FAM,NFQ-MGB,38.4528274536,38.4528274536,,,,,1,0.02,1,3,35,,N,N,N
G4,N_T2_R1_Ss_S2-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.5455932617,,,,,1,0.02,1,3,39,,N,Y,Y
G5,N_T2_R1_Ss_S3-8,B,UNKNOWN,FAM,NFQ-MGB,39.3153495789,39.3153495789,,,,,1,0.02,1,3,35,,N,N,N
G6,N_T2_R1_Ss_S3-10,B,UNKNOWN,FAM,NFQ-MGB,39.5446243286,38.9070205688,0.9017052054,,,,1,0.02,1,3,35,,Y,N,N
G7,N_T2_R1_Ss_S4-19,B,UNKNOWN,FAM,NFQ-MGB,39.0858879089,39.0858879089,,,,,1,0.02,1,3,35,,N,N,N
G8,N_T2_R1_Ss_S4-29,B,UNKNOWN,FAM,NFQ-MGB,39.6125984192,39.6125984192,,,,,1,0.02,1,3,35,,N,N,N
G9,N_T2_R1_Ss_S5-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
G10,N_T2_R1_Ss_S5-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
G11,N_T2_R1_Ss_S6-24,B,UNKNOWN,FAM,NFQ-MGB,39.0551490784,39.0551490784,,,,,1,0.02,1,3,35,,N,N,N
G12,N_T2_R1_Ss_S6-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
H1,N_T2_R1_Ss_S1-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H2,N_T2_R1_Ss_S1-25,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
H3,N_T2_R1_Ss_S2-21,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.4528274536,,,,,1,0.02,1,3,39,,N,N,Y
H4,N_T2_R1_Ss_S2-24,B,UNKNOWN,FAM,NFQ-MGB,38.5455932617,38.5455932617,,,,,1,0.02,1,3,35,,N,N,N
H5,N_T2_R1_Ss_S3-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.3153495789,,,,,1,0.02,1,3,39,,N,N,Y
H6,N_T2_R1_Ss_S3-10,B,UNKNOWN,FAM,NFQ-MGB,38.2694206238,38.9070205688,0.9017052054,,,,1,0.02,1,3,35,,Y,N,N
H7,N_T2_R1_Ss_S4-19,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.0858879089,,,,,1,0.02,1,3,39,,N,Y,Y
H8,N_T2_R1_Ss_S4-29,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.6125984192,,,,,1,0.02,1,3,39,,N,Y,Y
H9,N_T2_R1_Ss_S5-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,38,,N,N,Y
H10,N_T2_R1_Ss_S5-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
H11,N_T2_R1_Ss_S6-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.0551490784,,,,,1,0.02,1,3,39,,N,N,Y
H12,N_T2_R1_Ss_S6-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
