Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate17.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-20 15:58:46 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,N_T0_R1_Ss_S1-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,N_T0_R1_Ss_S1-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,N_T0_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,18.9671726227,19.0934715271,0.1786122769,,,,0,0.02,1,3,16,,N,N,N
A4,N_T0_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,19.2197685242,19.0934715271,0.1786122769,,,,0,0.02,1,3,17,,N,N,N
A5,N_T0_R1_Ss_S1-17,C,UNKNOWN,VIC,NFQ-MGB,28.8670787811,28.6850585938,0.2574140728,,,,0,0.02,1,3,27,,N,N,N
A5,N_T0_R1_Ss_S1-17,D,UNKNOWN,FAM,NFQ-MGB,25.2179431915,25.1959075928,0.0311630424,,,,0,0.02,1,3,23,,N,N,N
A6,N_T0_R1_Ss_S1-17,C,UNKNOWN,VIC,NFQ-MGB,28.5030403137,28.6850585938,0.2574140728,,,,0,0.02,1,3,27,,N,N,N
A6,N_T0_R1_Ss_S1-17,D,UNKNOWN,FAM,NFQ-MGB,25.173871994,25.1959075928,0.0311630424,,,,0,0.02,1,3,23,,N,N,N
A7,N_T0_R1_Ss_S5-7,C,UNKNOWN,VIC,NFQ-MGB,32.892162323,34.2221755981,1.8809227943,,,,0,0.02,1,3,32,,Y,N,N
A7,N_T0_R1_Ss_S5-7,D,UNKNOWN,FAM,NFQ-MGB,24.1376590729,24.2276134491,0.1272147,,,,0,0.02,1,3,22,,Y,N,N
A8,N_T0_R1_Ss_S5-7,C,UNKNOWN,VIC,NFQ-MGB,35.5521888733,34.2221755981,1.8809227943,,,,0,0.02,1,3,35,,Y,N,N
A8,N_T0_R1_Ss_S5-7,D,UNKNOWN,FAM,NFQ-MGB,24.3175678253,24.2276134491,0.1272147,,,,0,0.02,1,3,22,,Y,N,N
A9,N_T0_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,20.131401062,20.0181808472,0.1601189077,,,,0,0.02,1,3,18,,N,N,N
A10,N_T0_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,19.904958725,20.0181808472,0.1601189077,,,,0,0.02,1,3,18,,N,N,N
A11,N_T0_R1_Ss_S5-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,N_T0_R1_Ss_S5-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,N_T0_R1_Ss_S1-25,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B2,N_T0_R1_Ss_S1-25,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,N_T0_R1_Ss_S1-25,Ssid,UNKNOWN,FAM,NFQ-MGB,19.4819660187,19.6881561279,0.2915968597,,,,0,0.02,1,3,17,,N,N,N
B4,N_T0_R1_Ss_S1-25,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8943462372,19.6881561279,0.2915968597,,,,0,0.02,1,3,17,,N,N,N
B5,N_T0_R1_Ss_S1-25,C,UNKNOWN,VIC,NFQ-MGB,25.6315097809,25.6464366913,0.0211098399,,,,0,0.02,1,3,24,,N,Y,Y
B5,N_T0_R1_Ss_S1-25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B6,N_T0_R1_Ss_S1-25,C,UNKNOWN,VIC,NFQ-MGB,25.6613636017,25.6464366913,0.0211098399,,,,0,0.02,1,3,24,,N,Y,Y
B6,N_T0_R1_Ss_S1-25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B7,N_T0_R1_Ss_S5-11,C,UNKNOWN,VIC,NFQ-MGB,37.7264060974,37.7264060974,,,,,0,0.02,1,3,35,,N,N,N
B7,N_T0_R1_Ss_S5-11,D,UNKNOWN,FAM,NFQ-MGB,25.4322013855,25.19622612,0.3337194324,,,,0,0.02,1,3,24,,N,N,N
B8,N_T0_R1_Ss_S5-11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.7264060974,,,,,0,0.02,1,3,39,,N,Y,Y
