Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate15.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 17:02:09 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,C_T1_R2_Ss_S1-13,B,UNKNOWN,FAM,NFQ-MGB,39.8332138062,39.8332138062,,,,,0,0.02,1,3,35,,N,N,N
A2,C_T1_R2_Ss_S1-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.8332138062,,,,,0,0.02,1,3,39,,N,N,Y
A3,C_T1_R2_Ss_S1-13,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7100143433,20.9619026184,0.3562238216,,,,0,0.02,1,3,18,,N,N,N
A4,C_T1_R2_Ss_S1-13,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2137908936,20.9619026184,0.3562238216,,,,0,0.02,1,3,18,,N,N,N
A5,C_T1_R2_Ss_S1-13,C,UNKNOWN,VIC,NFQ-MGB,27.106628418,27.23802948,0.1858291626,,,,0,0.02,1,3,25,,Y,N,N
A5,C_T1_R2_Ss_S1-13,D,UNKNOWN,FAM,NFQ-MGB,31.9060153961,32.6065330505,0.9906802177,,,,0,0.02,1,3,30,,Y,N,N
A6,C_T1_R2_Ss_S1-13,C,UNKNOWN,VIC,NFQ-MGB,27.369430542,27.23802948,0.1858291626,,,,0,0.02,1,3,26,,Y,N,N
A6,C_T1_R2_Ss_S1-13,D,UNKNOWN,FAM,NFQ-MGB,33.3070487976,32.6065330505,0.9906802177,,,,0,0.02,1,3,31,,Y,N,N
A7,C_T1_R2_Ss_S5-10,C,UNKNOWN,VIC,NFQ-MGB,28.1349067688,28.2323417664,0.1377925426,,,,0,0.02,1,3,27,,N,N,N
A7,C_T1_R2_Ss_S5-10,D,UNKNOWN,FAM,NFQ-MGB,26.741235733,26.9615879059,0.3116250336,,,,0,0.02,1,3,25,,N,N,N
A8,C_T1_R2_Ss_S5-10,C,UNKNOWN,VIC,NFQ-MGB,28.3297748566,28.2323417664,0.1377925426,,,,0,0.02,1,3,27,,N,N,N
A8,C_T1_R2_Ss_S5-10,D,UNKNOWN,FAM,NFQ-MGB,27.1819400787,26.9615879059,0.3116250336,,,,0,0.02,1,3,25,,N,N,N
A9,C_T1_R2_Ss_S5-10,Ssid,UNKNOWN,FAM,NFQ-MGB,24.1442661285,23.8156318665,0.464759022,,,,0,0.02,1,3,22,,N,N,N
A10,C_T1_R2_Ss_S5-10,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4869976044,23.8156318665,0.464759022,,,,0,0.02,1,3,21,,N,N,N
A11,C_T1_R2_Ss_S5-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,C_T1_R2_Ss_S5-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B1,C_T1_R2_Ss_S1-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,C_T1_R2_Ss_S1-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B3,C_T1_R2_Ss_S1-23,Ssid,UNKNOWN,FAM,NFQ-MGB,19.9635772705,20.055015564,0.1293132752,,,,0,0.02,1,3,18,,N,N,N
B4,C_T1_R2_Ss_S1-23,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1464538574,20.055015564,0.1293132752,,,,0,0.02,1,3,18,,N,N,N
B5,C_T1_R2_Ss_S1-23,C,UNKNOWN,VIC,NFQ-MGB,29.4667320251,29.391450882,0.1064636111,,,,0,0.02,1,3,28,,N,N,N
B5,C_T1_R2_Ss_S1-23,D,UNKNOWN,FAM,NFQ-MGB,26.9908447266,27.1877441406,0.2784591615,,,,0,0.02,1,3,25,,N,N,N
B6,C_T1_R2_Ss_S1-23,C,UNKNOWN,VIC,NFQ-MGB,29.3161697388,29.391450882,0.1064636111,,,,0,0.02,1,3,28,,N,N,N
