Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate21.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 17:09:29 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
C2,N_T2_R2_Ss_S2-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.3068084717,,,,,0,0.02,1,3,39,,N,Y,Y
C3,N_T2_R2_Ss_S2-7,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2445526123,21.3815841675,0.1937918812,,,,1,0.02,1,3,19,,N,N,N
C4,N_T2_R2_Ss_S2-7,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5186157227,21.3815841675,0.1937918812,,,,1,0.02,1,3,19,,N,N,N
C5,N_T2_R2_Ss_S2-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C5,N_T2_R2_Ss_S2-7,D,UNKNOWN,FAM,NFQ-MGB,25.7810745239,25.9969177246,0.3052497208,,,,1,0.02,1,3,24,,N,Y,Y
C6,N_T2_R2_Ss_S2-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C6,N_T2_R2_Ss_S2-7,D,UNKNOWN,FAM,NFQ-MGB,26.2127628326,25.9969177246,0.3052497208,,,,1,0.02,1,3,24,,N,Y,Y
C7,N_T2_R2_Ss_S6-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C7,N_T2_R2_Ss_S6-27,D,UNKNOWN,FAM,NFQ-MGB,25.8252868652,25.8982639313,0.1032051593,,,,1,0.02,1,3,24,,N,Y,Y
C8,N_T2_R2_Ss_S6-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C8,N_T2_R2_Ss_S6-27,D,UNKNOWN,FAM,NFQ-MGB,25.9712409973,25.8982639313,0.1032051593,,,,1,0.02,1,3,24,,N,Y,Y
C9,N_T2_R2_Ss_S6-27,Ssid,UNKNOWN,FAM,NFQ-MGB,25.8090457916,26.4613990784,0.9225668907,,,,1,0.02,1,3,23,,Y,N,N
C10,N_T2_R2_Ss_S6-27,Ssid,UNKNOWN,FAM,NFQ-MGB,27.1137523651,26.4613990784,0.9225668907,,,,1,0.02,1,3,25,,Y,N,N
C11,N_T2_R2_Ss_S6-27,B,UNKNOWN,FAM,NFQ-MGB,38.6739044189,38.6739044189,,,,,0,0.02,1,3,35,,N,N,N
C12,N_T2_R2_Ss_S6-27,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.6739044189,,,,,0,0.02,1,3,39,,N,N,Y
D1,N_T2_R2_Ss_S2-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D2,N_T2_R2_Ss_S2-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D3,N_T2_R2_Ss_S2-18,Ssid,UNKNOWN,FAM,NFQ-MGB,23.9450321198,24.0227203369,0.1098677292,,,,1,0.02,1,3,22,,N,N,N
D4,N_T2_R2_Ss_S2-18,Ssid,UNKNOWN,FAM,NFQ-MGB,24.1004085541,24.0227203369,0.1098677292,,,,1,0.02,1,3,21,,N,N,N
D5,N_T2_R2_Ss_S2-18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
D5,N_T2_R2_Ss_S2-18,D,UNKNOWN,FAM,NFQ-MGB,26.6432189941,26.6692085266,0.0367534012,,,,1,0.02,1,3,25,,N,Y,Y
D6,N_T2_R2_Ss_S2-18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
D6,N_T2_R2_Ss_S2-18,D,UNKNOWN,FAM,NFQ-MGB,26.6951961517,26.6692085266,0.0367534012,,,,1,0.02,1,3,25,,N,Y,Y
D7,N_T2_R2_Ss_S6-29,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.9600906372,,,,,1,0.02,1,3,39,,N,Y,Y
D7,N_T2_R2_Ss_S6-29,D,UNKNOWN,FAM,NFQ-MGB,25.5760555267,25.6988449097,0.1736517549,,,,1,0.02,1,3,24,,N,Y,Y
D8,N_T2_R2_Ss_S6-29,C,UNKNOWN,VIC,NFQ-MGB,33.9600906372,33.9600906372,,,,,1,0.02,1,3,33,,N,N,N
D8,N_T2_R2_Ss_S6-29,D,UNKNOWN,FAM,NFQ-MGB,25.8216362,25.6988449097,0.1736517549,,,,1,0.02,1,3,24,,N,N,N
D9,N_T2_R2_Ss_S6-29,Ssid,UNKNOWN,FAM,NFQ-MGB,25.2300949097,25.2805938721,0.071417667,,,,1,0.02,1,3,23,,N,N,N
D10,N_T2_R2_Ss_S6-29,Ssid,UNKNOWN,FAM,NFQ-MGB,25.3310947418,25.2805938721,0.071417667,,,,1,0.02,1,3,23,,N,N,N
D11,N_T2_R2_Ss_S6-29,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.5796546936,,,,,0,0.02,1,3,39,,N,Y,Y
D12,N_T2_R2_Ss_S6-29,B,UNKNOWN,FAM,NFQ-MGB,37.5796546936,37.5796546936,,,,,0,0.02,1,3,35,,N,N,N
E1,N_T2_R2_Ss_S3-25,B,UNKNOWN,FAM,NFQ-MGB,36.8180656433,37.3068962097,0.691310823,,,,0,0.02,1,3,35,,Y,N,N
E2,N_T2_R2_Ss_S3-25,B,UNKNOWN,FAM,NFQ-MGB,37.7957267761,37.3068962097,0.691310823,,,,0,0.02,1,3,35,,Y,N,N
E3,N_T2_R2_Ss_S3-25,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5362510681,22.4910812378,0.0638784394,,,,1,0.02,1,3,21,,N,N,N
E4,N_T2_R2_Ss_S3-25,Ssid,UNKNOWN,FAM,NFQ-MGB,22.4459133148,22.4910812378,0.0638784394,,,,1,0.02,1,3,20,,N,N,N
E5,N_T2_R2_Ss_S3-25,C,UNKNOWN,VIC,NFQ-MGB,32.8823928833,32.9160728455,0.0476306602,,,,1,0.02,1,3,31,,N,N,N
E5,N_T2_R2_Ss_S3-25,D,UNKNOWN,FAM,NFQ-MGB,26.9926280975,27.0274963379,0.0493111387,,,,1,0.02,1,3,25,,N,N,N
E6,N_T2_R2_Ss_S3-25,C,UNKNOWN,VIC,NFQ-MGB,32.9497528076,32.9160728455,0.0476306602,,,,1,0.02,1,3,31,,N,N,N
E6,N_T2_R2_Ss_S3-25,D,UNKNOWN,FAM,NFQ-MGB,27.0623645782,27.0274963379,0.0493111387,,,,1,0.02,1,3,25,,N,N,N
E7,CO2_T0_R1_Ss_S5-20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.2583885193,,,,,1,0.02,1,3,39,,N,Y,Y
E7,CO2_T0_R1_Ss_S5-20,D,UNKNOWN,FAM,NFQ-MGB,24.1497879028,24.196231842,0.0656803027,,,,1,0.02,1,3,22,,N,Y,Y
E8,CO2_T0_R1_Ss_S5-20,C,UNKNOWN,VIC,NFQ-MGB,35.2583885193,35.2583885193,,,,,1,0.02,1,3,34,,N,N,N
E8,CO2_T0_R1_Ss_S5-20,D,UNKNOWN,FAM,NFQ-MGB,24.2426738739,24.196231842,0.0656803027,,,,1,0.02,1,3,22,,N,N,N
E9,CO2_T0_R1_Ss_S5-20,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8061504364,19.8826789856,0.1082290635,,,,1,0.02,1,3,17,,N,N,N
E10,CO2_T0_R1_Ss_S5-20,Ssid,UNKNOWN,FAM,NFQ-MGB,19.9592094421,19.8826789856,0.1082290635,,,,1,0.02,1,3,17,,N,N,N
