Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate18.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-20 17:36:26 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,N_T1_R1_Ss_S1-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,N_T1_R1_Ss_S1-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,N_T1_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9506225586,21.1034393311,0.2161155492,,,,1,0.02,1,3,18,,N,N,N
A4,N_T1_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2562561035,21.1034393311,0.2161155492,,,,1,0.02,1,3,18,,N,N,N
A5,N_T1_R1_Ss_S1-17,C,UNKNOWN,VIC,NFQ-MGB,31.3535327911,31.531867981,0.2522026896,,,,1,0.02,1,3,30,,N,N,N
A5,N_T1_R1_Ss_S1-17,D,UNKNOWN,FAM,NFQ-MGB,27.1919269562,27.2571487427,0.0922361836,,,,1,0.02,1,3,25,,N,N,N
A6,N_T1_R1_Ss_S1-17,C,UNKNOWN,VIC,NFQ-MGB,31.7102012634,31.531867981,0.2522026896,,,,1,0.02,1,3,30,,N,N,N
A6,N_T1_R1_Ss_S1-17,D,UNKNOWN,FAM,NFQ-MGB,27.3223686218,27.2571487427,0.0922361836,,,,1,0.02,1,3,25,,N,N,N
A7,N_T1_R1_Ss_S5-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
A7,N_T1_R1_Ss_S5-7,D,UNKNOWN,FAM,NFQ-MGB,29.8710136414,30.0624961853,0.2707972229,,,,1,0.02,1,3,28,,N,Y,Y
A8,N_T1_R1_Ss_S5-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
A8,N_T1_R1_Ss_S5-7,D,UNKNOWN,FAM,NFQ-MGB,30.2539787292,30.0624961853,0.2707972229,,,,1,0.02,1,3,28,,N,Y,Y
A9,N_T1_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,26.0047416687,26.0954399109,0.1282680333,,,,1,0.02,1,3,24,,N,N,N
A10,N_T1_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,26.1861400604,26.0954399109,0.1282680333,,,,1,0.02,1,3,23,,N,N,N
A11,N_T1_R1_Ss_S5-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,N_T1_R1_Ss_S5-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,N_T1_R1_Ss_S1-25,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B2,N_T1_R1_Ss_S1-25,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
