Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-27 19:31:31 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,NOSIGNAL,EXPFAIL,CTFAIL
A1,NPF_T2_R2_Ss_S1-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
A2,NPF_T2_R2_Ss_S1-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
A3,NPF_T2_R2_Ss_S1-2,Ssid,UNKNOWN,FAM,NFQ-MGB,21.1240367889,21.0264568329,0.1379988939,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
A4,NPF_T2_R2_Ss_S1-2,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9288768768,21.0264568329,0.1379988939,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
A5,NPF_T2_R2_Ss_S1-2,C,UNKNOWN,VIC,NFQ-MGB,26.0333786011,26.023765564,0.0135948872,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
A5,NPF_T2_R2_Ss_S1-2,D,UNKNOWN,FAM,NFQ-MGB,28.4211444855,28.3628578186,0.0824284479,,,,0,0.02,1,3,27,,N,N,N,N,N,N,N
A6,NPF_T2_R2_Ss_S1-2,C,UNKNOWN,VIC,NFQ-MGB,26.0141525269,26.023765564,0.0135948872,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
A6,NPF_T2_R2_Ss_S1-2,D,UNKNOWN,FAM,NFQ-MGB,28.3045730591,28.3628578186,0.0824284479,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
A7,NPF_T2_R2_Ss_S5-19,C,UNKNOWN,VIC,NFQ-MGB,33.4588050842,33.6960754395,0.3355482519,,,,0,0.02,1,3,32,,N,N,N,N,N,N,N
A7,NPF_T2_R2_Ss_S5-19,D,UNKNOWN,FAM,NFQ-MGB,25.3323688507,25.341632843,0.0130999144,,,,0,0.02,1,3,23,,N,N,N,N,N,N,N
A8,NPF_T2_R2_Ss_S5-19,C,UNKNOWN,VIC,NFQ-MGB,33.93334198,33.6960754395,0.3355482519,,,,0,0.02,1,3,33,,N,N,N,N,N,N,N
A8,NPF_T2_R2_Ss_S5-19,D,UNKNOWN,FAM,NFQ-MGB,25.350894928,25.341632843,0.0130999144,,,,0,0.02,1,3,23,,N,N,N,N,N,N,N
