Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate24.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-27 19:31:31 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,NOSIGNAL,EXPFAIL,CTFAIL
A9,NPF_T2_R2_Ss_S5-19,Ssid,UNKNOWN,FAM,NFQ-MGB,21.6113872528,21.664188385,0.0746734291,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
A10,NPF_T2_R2_Ss_S5-19,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7169914246,21.664188385,0.0746734291,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
A11,NPF_T2_R2_Ss_S5-19,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
A12,NPF_T2_R2_Ss_S5-19,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
B1,NPF_T2_R2_Ss_S1-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
B2,NPF_T2_R2_Ss_S1-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
B3,NPF_T2_R2_Ss_S1-28,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0912303925,20.1555175781,0.090914458,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N
B4,NPF_T2_R2_Ss_S1-28,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2198028564,20.1555175781,0.090914458,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
B5,NPF_T2_R2_Ss_S1-28,C,UNKNOWN,VIC,NFQ-MGB,26.8610725403,26.9464263916,0.1207099259,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N
B5,NPF_T2_R2_Ss_S1-28,D,UNKNOWN,FAM,NFQ-MGB,26.1478900909,26.055683136,0.1304003298,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
B6,NPF_T2_R2_Ss_S1-28,C,UNKNOWN,VIC,NFQ-MGB,27.0317821503,26.9464263916,0.1207099259,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N
B6,NPF_T2_R2_Ss_S1-28,D,UNKNOWN,FAM,NFQ-MGB,25.963476181,26.055683136,0.1304003298,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
B7,NPF_T2_R2_Ss_S5-21,C,UNKNOWN,VIC,NFQ-MGB,27.6243610382,27.56873703,0.0786642283,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
B7,NPF_T2_R2_Ss_S5-21,D,UNKNOWN,FAM,NFQ-MGB,25.1306724548,25.2427864075,0.1585530788,,,,0,0.02,1,3,23,,N,N,N,N,N,N,N
B8,NPF_T2_R2_Ss_S5-21,C,UNKNOWN,VIC,NFQ-MGB,27.5131130219,27.56873703,0.0786642283,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
B8,NPF_T2_R2_Ss_S5-21,D,UNKNOWN,FAM,NFQ-MGB,25.3549003601,25.2427864075,0.1585530788,,,,0,0.02,1,3,23,,N,N,N,N,N,N,N
B9,NPF_T2_R2_Ss_S5-21,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9886360168,21.0150794983,0.0373980775,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
B10,NPF_T2_R2_Ss_S5-21,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0415248871,21.0150794983,0.0373980775,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
B11,NPF_T2_R2_Ss_S5-21,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
B12,NPF_T2_R2_Ss_S5-21,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
C1,NPF_T2_R2_Ss_S2-14,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
C2,NPF_T2_R2_Ss_S2-14,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
C3,NPF_T2_R2_Ss_S2-14,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1512432098,20.2025489807,0.0725559667,,,,0,0.02,1,3,17,,N,N,N,N,N,N,N
C4,NPF_T2_R2_Ss_S2-14,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2538528442,20.2025489807,0.0725559667,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
C5,NPF_T2_R2_Ss_S2-14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
C5,NPF_T2_R2_Ss_S2-14,D,UNKNOWN,FAM,NFQ-MGB,24.1483917236,24.0081863403,0.1982790083,,,,0,0.02,1,3,22,,N,N,Y,N,N,Y,N
C6,NPF_T2_R2_Ss_S2-14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
C6,NPF_T2_R2_Ss_S2-14,D,UNKNOWN,FAM,NFQ-MGB,23.8679828644,24.0081863403,0.1982790083,,,,0,0.02,1,3,22,,N,N,Y,N,N,Y,N
C7,NPF_T2_R2_Ss_S6-10,C,UNKNOWN,VIC,NFQ-MGB,33.7955322266,34.1084709167,0.4425621331,,,,0,0.02,1,3,32,,N,N,N,N,N,N,N
C7,NPF_T2_R2_Ss_S6-10,D,UNKNOWN,FAM,NFQ-MGB,23.9230937958,23.95835495,0.049866803,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
C8,NPF_T2_R2_Ss_S6-10,C,UNKNOWN,VIC,NFQ-MGB,34.4214096069,34.1084709167,0.4425621331,,,,0,0.02,1,3,33,,N,N,N,N,N,N,N
C8,NPF_T2_R2_Ss_S6-10,D,UNKNOWN,FAM,NFQ-MGB,23.9936161041,23.95835495,0.049866803,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
C9,NPF_T2_R2_Ss_S6-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7287559509,20.8288249969,0.1415189952,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
C10,NPF_T2_R2_Ss_S6-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.928894043,20.8288249969,0.1415189952,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
C11,NPF_T2_R2_Ss_S6-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
C12,NPF_T2_R2_Ss_S6-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
D1,NPF_T2_R2_Ss_S2-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
D2,NPF_T2_R2_Ss_S2-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
D3,NPF_T2_R2_Ss_S2-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.4415683746,21.313205719,0.181530863,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
D4,NPF_T2_R2_Ss_S2-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.1848449707,21.313205719,0.181530863,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
D5,NPF_T2_R2_Ss_S2-23,C,UNKNOWN,VIC,NFQ-MGB,36.0358848572,36.0358848572,,,,,0,0.02,1,3,34,,N,N,N,N,N,N,N
D5,NPF_T2_R2_Ss_S2-23,D,UNKNOWN,FAM,NFQ-MGB,24.8750228882,24.7859039307,0.1260345876,,,,0,0.02,1,3,23,,N,N,N,N,N,N,N
D6,NPF_T2_R2_Ss_S2-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.0358848572,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
D6,NPF_T2_R2_Ss_S2-23,D,UNKNOWN,FAM,NFQ-MGB,24.6967830658,24.7859039307,0.1260345876,,,,0,0.02,1,3,22,,N,N,Y,N,N,Y,N
D7,NPF_T2_R2_Ss_S6-25,C,UNKNOWN,VIC,NFQ-MGB,33.960773468,34.0044784546,0.0618108809,,,,0,0.02,1,3,32,,N,N,N,N,N,N,N
D7,NPF_T2_R2_Ss_S6-25,D,UNKNOWN,FAM,NFQ-MGB,24.144908905,23.9861965179,0.2244532108,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
D8,NPF_T2_R2_Ss_S6-25,C,UNKNOWN,VIC,NFQ-MGB,34.0481872559,34.0044784546,0.0618108809,,,,0,0.02,1,3,32,,N,N,N,N,N,N,N
D8,NPF_T2_R2_Ss_S6-25,D,UNKNOWN,FAM,NFQ-MGB,23.8274841309,23.9861965179,0.2244532108,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
D9,NPF_T2_R2_Ss_S6-25,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0644111633,20.8853607178,0.2532142103,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
D10,NPF_T2_R2_Ss_S6-25,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7063121796,20.8853607178,0.2532142103,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
D11,NPF_T2_R2_Ss_S6-25,B,UNKNOWN,FAM,NFQ-MGB,37.6018486023,37.6018486023,,,,,0,0.02,1,3,35,,N,N,N,N,N,N,N
D12,NPF_T2_R2_Ss_S6-25,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.6018486023,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
E1,NPF_T2_R2_Ss_S3-13,B,UNKNOWN,FAM,NFQ-MGB,37.8207473755,37.8207473755,,,,,0,0.02,1,3,35,,N,N,N,N,N,N,N
E2,NPF_T2_R2_Ss_S3-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.8207473755,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
E3,NPF_T2_R2_Ss_S3-13,Ssid,UNKNOWN,FAM,NFQ-MGB,22.1992893219,22.0988769531,0.1420031786,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
E4,NPF_T2_R2_Ss_S3-13,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9984664917,22.0988769531,0.1420031786,,,,0,0.02,1,3,19,,N,N,N,N,N,N,N
E5,NPF_T2_R2_Ss_S3-13,C,UNKNOWN,VIC,NFQ-MGB,27.0945148468,27.1585121155,0.0905058086,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N
E5,NPF_T2_R2_Ss_S3-13,D,UNKNOWN,FAM,NFQ-MGB,27.3116054535,27.4919395447,0.2550322711,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N
E6,NPF_T2_R2_Ss_S3-13,C,UNKNOWN,VIC,NFQ-MGB,27.2225093842,27.1585121155,0.0905058086,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
E6,NPF_T2_R2_Ss_S3-13,D,UNKNOWN,FAM,NFQ-MGB,27.6722755432,27.4919395447,0.2550322711,,,,0,0.02,1,3,26,,N,N,N,N,N,N,N
E7,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.3322525024,9.8613958359,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
E7,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,15.5775518417,10.0874824524,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
E8,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,23.3591938019,30.3322525024,9.8613958359,,,,0,0.02,1,3,39,,Y,Y,N,N,Y,Y,N
E8,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,15.5775518417,10.0874824524,,,,0,0.02,1,3,20,,Y,Y,N,N,Y,Y,N
E9,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
E10,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,22,,N,N,N,N,N,N,N
E11,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
E12,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
F1,NPF_T2_R2_Ss_S3-16,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
F2,NPF_T2_R2_Ss_S3-16,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
F3,NPF_T2_R2_Ss_S3-16,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5037326813,22.4835395813,0.0285560079,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
F4,NPF_T2_R2_Ss_S3-16,Ssid,UNKNOWN,FAM,NFQ-MGB,22.4633483887,22.4835395813,0.0285560079,,,,0,0.02,1,3,20,,N,N,N,N,N,N,N
F5,NPF_T2_R2_Ss_S3-16,C,UNKNOWN,VIC,NFQ-MGB,25.715259552,25.7995796204,0.1192465872,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
F5,NPF_T2_R2_Ss_S3-16,D,UNKNOWN,FAM,NFQ-MGB,26.3417167664,26.3137454987,0.0395573452,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
F6,NPF_T2_R2_Ss_S3-16,C,UNKNOWN,VIC,NFQ-MGB,25.8838996887,25.7995796204,0.1192465872,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
F6,NPF_T2_R2_Ss_S3-16,D,UNKNOWN,FAM,NFQ-MGB,26.285774231,26.3137454987,0.0395573452,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
F7,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,37.3053131104,30.3322525024,9.8613958359,,,,0,0.02,1,3,33,,Y,Y,N,N,Y,N,N
F7,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,1.3451868296,15.5775518417,10.0874824524,,,,0,0.02,1,3,33,,Y,Y,N,N,Y,N,N
F8,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.3322525024,9.8613958359,,,,0,0.02,1,3,27,,Y,Y,N,N,Y,Y,N
F8,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,22.816619873,15.5775518417,10.0874824524,,,,0,0.02,1,3,39,,Y,Y,N,N,Y,Y,N
F9,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
F10,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
F11,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,Y,N,Y,N
F12,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,31,,Y,N,N,N,Y,N,N
G1,NPF_T2_R2_Ss_S4-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
G2,NPF_T2_R2_Ss_S4-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
G3,NPF_T2_R2_Ss_S4-13,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8709011078,19.9440574646,0.10345871,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
G4,NPF_T2_R2_Ss_S4-13,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0172138214,19.9440574646,0.10345871,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
G5,NPF_T2_R2_Ss_S4-13,C,UNKNOWN,VIC,NFQ-MGB,24.5364685059,24.5873470306,0.0719531029,,,,0,0.02,1,3,23,,N,N,N,N,N,N,N
G5,NPF_T2_R2_Ss_S4-13,D,UNKNOWN,FAM,NFQ-MGB,26.6578426361,26.4201183319,0.3361929357,,,,0,0.02,1,3,25,,N,N,N,N,N,N,N
G6,NPF_T2_R2_Ss_S4-13,C,UNKNOWN,VIC,NFQ-MGB,24.6382255554,24.5873470306,0.0719531029,,,,0,0.02,1,3,23,,N,N,N,N,N,N,N
G6,NPF_T2_R2_Ss_S4-13,D,UNKNOWN,FAM,NFQ-MGB,26.1823940277,26.4201183319,0.3361929357,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
G7,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.3322525024,9.8613958359,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
G7,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,15.5775518417,10.0874824524,,,,0,0.02,1,3,38,,Y,N,N,N,Y,Y,N
G8,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.3322525024,9.8613958359,,,,0,0.02,1,3,39,,Y,Y,N,N,Y,Y,N
G8,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,15.4787540436,15.5775518417,10.0874824524,,,,0,0.02,1,3,38,,Y,Y,N,N,Y,Y,N
G9,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
G10,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
G11,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
G12,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,18,,Y,N,N,N,Y,N,N
H1,NPF_T2_R2_Ss_S4-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y,N
H2,NPF_T2_R2_Ss_S4-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
H3,NPF_T2_R2_Ss_S4-18,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4707679749,20.4707679749,,,,,0,0.02,1,3,18,,N,N,N,N,N,N,N
H4,NPF_T2_R2_Ss_S4-18,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,20.4707679749,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y,N
H5,NPF_T2_R2_Ss_S4-18,C,UNKNOWN,VIC,NFQ-MGB,25.3728199005,25.3980865479,0.0357337855,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
H5,NPF_T2_R2_Ss_S4-18,D,UNKNOWN,FAM,NFQ-MGB,25.6930427551,25.7639064789,0.1002164409,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
H6,NPF_T2_R2_Ss_S4-18,C,UNKNOWN,VIC,NFQ-MGB,25.4233551025,25.3980865479,0.0357337855,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
H6,NPF_T2_R2_Ss_S4-18,D,UNKNOWN,FAM,NFQ-MGB,25.8347702026,25.7639064789,0.1002164409,,,,0,0.02,1,3,24,,N,N,N,N,N,N,N
H7,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.3322525024,9.8613958359,,,,0,0.02,1,3,7,,Y,Y,N,N,Y,Y,N
H7,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,22.6696472168,15.5775518417,10.0874824524,,,,0,0.02,1,3,39,,Y,Y,N,N,Y,Y,N
H8,NPF_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.3322525024,9.8613958359,,,,0,0.02,1,3,6,,Y,N,N,N,Y,Y,Y
H8,NPF_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,15.5775518417,10.0874824524,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,Y
H9,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
H10,NPF_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,38,,Y,N,N,N,Y,Y,N
H11,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,Y,N,N,N,Y,Y,N
H12,NPF_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,19,,Y,N,N,N,Y,N,N
