Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate20.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 14:30:25 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
C2,N_T1_R2_Ss_S2-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,N_T1_R2_Ss_S2-7,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2616958618,22.1287708282,0.187984392,,,,1,0.02,1,3,20,,N,N,N
C4,N_T1_R2_Ss_S2-7,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9958457947,22.1287708282,0.187984392,,,,1,0.02,1,3,20,,N,N,N
C5,N_T1_R2_Ss_S2-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C5,N_T1_R2_Ss_S2-7,D,UNKNOWN,FAM,NFQ-MGB,24.6695976257,24.6253681183,0.062549971,,,,1,0.02,1,3,23,,N,Y,Y
C6,N_T1_R2_Ss_S2-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C6,N_T1_R2_Ss_S2-7,D,UNKNOWN,FAM,NFQ-MGB,24.5811386108,24.6253681183,0.062549971,,,,1,0.02,1,3,23,,N,Y,Y
C7,N_T1_R2_Ss_S6-27,C,UNKNOWN,VIC,NFQ-MGB,37.7605781555,37.7605781555,,,,,1,0.02,1,3,35,,N,N,N
C7,N_T1_R2_Ss_S6-27,D,UNKNOWN,FAM,NFQ-MGB,25.8955535889,26.1786384583,0.4003424644,,,,1,0.02,1,3,24,,N,N,N
C8,N_T1_R2_Ss_S6-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.7605781555,,,,,1,0.02,1,3,39,,N,Y,Y
C8,N_T1_R2_Ss_S6-27,D,UNKNOWN,FAM,NFQ-MGB,26.4617233276,26.1786384583,0.4003424644,,,,1,0.02,1,3,25,,N,Y,Y
C9,N_T1_R2_Ss_S6-27,Ssid,UNKNOWN,FAM,NFQ-MGB,23.9552593231,23.9110870361,0.0624703951,,,,1,0.02,1,3,22,,N,N,N
C10,N_T1_R2_Ss_S6-27,Ssid,UNKNOWN,FAM,NFQ-MGB,23.8669128418,23.9110870361,0.0624703951,,,,1,0.02,1,3,21,,N,N,N
C11,N_T1_R2_Ss_S6-27,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C12,N_T1_R2_Ss_S6-27,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D1,N_T1_R2_Ss_S2-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,35,,N,N,N
D2,N_T1_R2_Ss_S2-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D3,N_T1_R2_Ss_S2-18,Ssid,UNKNOWN,FAM,NFQ-MGB,22.9106311798,22.9883022308,0.1098434553,,,,1,0.02,1,3,21,,N,N,N
D4,N_T1_R2_Ss_S2-18,Ssid,UNKNOWN,FAM,NFQ-MGB,23.0659732819,22.9883022308,0.1098434553,,,,1,0.02,1,3,20,,N,N,N
D5,N_T1_R2_Ss_S2-18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
D5,N_T1_R2_Ss_S2-18,D,UNKNOWN,FAM,NFQ-MGB,26.2103710175,26.2561283112,0.0647105873,,,,1,0.02,1,3,24,,N,Y,Y
D6,N_T1_R2_Ss_S2-18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
D6,N_T1_R2_Ss_S2-18,D,UNKNOWN,FAM,NFQ-MGB,26.3018856049,26.2561283112,0.0647105873,,,,1,0.02,1,3,24,,N,Y,Y
D7,N_T1_R2_Ss_S6-29,C,UNKNOWN,VIC,NFQ-MGB,35.4865875244,35.9386558533,0.6393211484,,,,1,0.02,1,3,34,,Y,N,N
D7,N_T1_R2_Ss_S6-29,D,UNKNOWN,FAM,NFQ-MGB,25.7110595703,25.6599121094,0.0723320842,,,,1,0.02,1,3,24,,Y,N,N
D8,N_T1_R2_Ss_S6-29,C,UNKNOWN,VIC,NFQ-MGB,36.3907241821,35.9386558533,0.6393211484,,,,1,0.02,1,3,35,,Y,N,N
D8,N_T1_R2_Ss_S6-29,D,UNKNOWN,FAM,NFQ-MGB,25.6087665558,25.6599121094,0.0723320842,,,,1,0.02,1,3,24,,Y,N,N
D9,N_T1_R2_Ss_S6-29,Ssid,UNKNOWN,FAM,NFQ-MGB,23.350933075,23.6142730713,0.3724189997,,,,1,0.02,1,3,21,,N,N,N
D10,N_T1_R2_Ss_S6-29,Ssid,UNKNOWN,FAM,NFQ-MGB,23.8776130676,23.6142730713,0.3724189997,,,,1,0.02,1,3,21,,N,N,N
D11,N_T1_R2_Ss_S6-29,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D12,N_T1_R2_Ss_S6-29,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E1,N_T1_R2_Ss_S3-25,B,UNKNOWN,FAM,NFQ-MGB,38.2159843445,38.3855552673,0.2398094982,,,,0,0.02,1,3,35,,N,N,N
E2,N_T1_R2_Ss_S3-25,B,UNKNOWN,FAM,NFQ-MGB,38.5551261902,38.3855552673,0.2398094982,,,,0,0.02,1,3,35,,N,N,N
