Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate35.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-11 16:56:43 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NPF_T0_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6661243439,21.6520080566,1.4341756105,,,,0,0.02,1,3,20,,Y,N,N
A2,NPF_T0_R1_Ss_S1-18,Ssid,UNKNOWN,FAM,NFQ-MGB,22.965467453,22.6017074585,0.5144329667,,,,0,0.02,1,3,21,,Y,N,N
A3,NPF_T0_R1_Ss_S2-28,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6962413788,20.5233535767,0.2445002794,,,,0,0.02,1,3,19,,N,N,N
A4,NPF_T0_R1_Ss_S2-30,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3806686401,21.1859512329,0.2753706574,,,,0,0.02,1,3,19,,N,N,N
A5,NPF_T0_R1_Ss_S3-1,Ssid,UNKNOWN,FAM,NFQ-MGB,22.92669487,22.6183815002,0.4360223114,,,,0,0.02,1,3,21,,N,N,N
A6,NPF_T0_R1_Ss_S3-28,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2169647217,22.5548000336,0.4777712822,,,,0,0.02,1,3,20,,N,N,N
A7,NPF_T0_R1_Ss_S4-10,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3401851654,21.8678264618,0.6680160761,,,,0,0.02,1,3,20,,Y,N,N
A8,NPF_T0_R1_Ss_S4-17,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9278049469,21.7529449463,0.2472880334,,,,0,0.02,1,3,20,,N,N,N
A9,NPF_T0_R1_Ss_S5-5,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3556747437,22.1404418945,0.3043865561,,,,0,0.02,1,3,20,,N,N,N
A10,NPF_T0_R1_Ss_S5-27,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6627502441,22.3720741272,0.4110780954,,,,0,0.02,1,3,20,,N,N,N
A11,NPF_T0_R1_Ss_S6-6,Ssid,UNKNOWN,FAM,NFQ-MGB,23.380689621,22.8917675018,0.6914402843,,,,0,0.02,1,3,21,,Y,N,N
A12,NPF_T0_R1_Ss_S6-13,Ssid,UNKNOWN,FAM,NFQ-MGB,24.9934997559,23.7853221893,1.7086211443,,,,0,0.02,1,3,23,,Y,N,N
B1,NPF_T0_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6378936768,21.6520080566,1.4341756105,,,,0,0.02,1,3,19,,Y,N,N
B2,NPF_T0_R1_Ss_S1-18,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2379493713,22.6017074585,0.5144329667,,,,0,0.02,1,3,20,,Y,N,N
B3,NPF_T0_R1_Ss_S2-28,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3504657745,20.5233535767,0.2445002794,,,,0,0.02,1,3,18,,N,N,N
B4,NPF_T0_R1_Ss_S2-30,Ssid,UNKNOWN,FAM,NFQ-MGB,20.991235733,21.1859512329,0.2753706574,,,,0,0.02,1,3,19,,N,N,N
B5,NPF_T0_R1_Ss_S3-1,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3100662231,22.6183815002,0.4360223114,,,,0,0.02,1,3,20,,N,N,N
B6,NPF_T0_R1_Ss_S3-28,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8926353455,22.5548000336,0.4777712822,,,,0,0.02,1,3,21,,N,N,N
B7,NPF_T0_R1_Ss_S4-10,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3954677582,21.8678264618,0.6680160761,,,,0,0.02,1,3,19,,Y,N,N
B8,NPF_T0_R1_Ss_S4-17,Ssid,UNKNOWN,FAM,NFQ-MGB,21.578086853,21.7529449463,0.2472880334,,,,0,0.02,1,3,19,,N,N,N
B9,NPF_T0_R1_Ss_S5-5,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9252071381,22.1404418945,0.3043865561,,,,0,0.02,1,3,20,,N,N,N
B10,NPF_T0_R1_Ss_S5-27,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0813980103,22.3720741272,0.4110780954,,,,0,0.02,1,3,20,,N,N,N
B11,NPF_T0_R1_Ss_S6-6,Ssid,UNKNOWN,FAM,NFQ-MGB,22.4028453827,22.8917675018,0.6914402843,,,,0,0.02,1,3,20,,Y,N,N
B12,NPF_T0_R1_Ss_S6-13,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5771446228,23.7853221893,1.7086211443,,,,0,0.02,1,3,20,,Y,N,N
C1,NPF_T0_R1_Ss_S1-5,C,UNKNOWN,VIC,NFQ-MGB,27.9508323669,28.1116714478,0.2274594605,,,,0,0.02,1,3,26,,N,N,N
C1,NPF_T0_R1_Ss_S1-5,D,UNKNOWN,FAM,NFQ-MGB,25.7548027039,26.0658760071,0.43992275,,,,0,0.02,1,3,24,,N,N,N
C2,NPF_T0_R1_Ss_S1-18,C,UNKNOWN,VIC,NFQ-MGB,32.3724327087,32.197013855,0.24807702,,,,0,0.02,1,3,31,,N,N,N
C2,NPF_T0_R1_Ss_S1-18,D,UNKNOWN,FAM,NFQ-MGB,25.9694919586,26.0558986664,0.1221975386,,,,0,0.02,1,3,24,,N,N,N
C3,NPF_T0_R1_Ss_S2-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,NPF_T0_R1_Ss_S2-28,D,UNKNOWN,FAM,NFQ-MGB,25.3955974579,25.0913524628,0.4302673936,,,,0,0.02,1,3,24,,N,Y,Y
C4,NPF_T0_R1_Ss_S2-30,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C4,NPF_T0_R1_Ss_S2-30,D,UNKNOWN,FAM,NFQ-MGB,25.2334461212,25.3257102966,0.1304825991,,,,0,0.02,1,3,23,,N,Y,Y
C5,NPF_T0_R1_Ss_S3-1,C,UNKNOWN,VIC,NFQ-MGB,28.8653659821,28.9881572723,0.1736531109,,,,0,0.02,1,3,27,,N,N,N
C5,NPF_T0_R1_Ss_S3-1,D,UNKNOWN,FAM,NFQ-MGB,25.684469223,25.7725143433,0.1245146021,,,,0,0.02,1,3,24,,N,N,N
C6,NPF_T0_R1_Ss_S3-28,C,UNKNOWN,VIC,NFQ-MGB,29.7069816589,29.7470397949,0.0566507578,,,,0,0.02,1,3,28,,N,N,N
C6,NPF_T0_R1_Ss_S3-28,D,UNKNOWN,FAM,NFQ-MGB,25.2728919983,25.3590011597,0.1217780933,,,,0,0.02,1,3,23,,N,N,N
C7,NPF_T0_R1_Ss_S4-10,C,UNKNOWN,VIC,NFQ-MGB,26.9323348999,27.1474971771,0.3042854071,,,,0,0.02,1,3,25,,N,N,N
C7,NPF_T0_R1_Ss_S4-10,D,UNKNOWN,FAM,NFQ-MGB,25.259973526,25.23462677,0.0358443782,,,,0,0.02,1,3,23,,N,N,N
C8,NPF_T0_R1_Ss_S4-17,C,UNKNOWN,VIC,NFQ-MGB,27.4538230896,27.4395256042,0.0202210471,,,,0,0.02,1,3,26,,N,N,N
C8,NPF_T0_R1_Ss_S4-17,D,UNKNOWN,FAM,NFQ-MGB,24.7281837463,24.7076072693,0.0290981848,,,,0,0.02,1,3,23,,N,N,N
C9,NPF_T0_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,36.1457862854,34.6968345642,2.0491271019,,,,0,0.02,1,3,35,,Y,N,N
C9,NPF_T0_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,25.1085586548,25.1495056152,0.0579090938,,,,0,0.02,1,3,23,,Y,N,N
C10,NPF_T0_R1_Ss_S5-27,C,UNKNOWN,VIC,NFQ-MGB,27.5724658966,27.6667366028,0.133318916,,,,0,0.02,1,3,26,,N,N,N
C10,NPF_T0_R1_Ss_S5-27,D,UNKNOWN,FAM,NFQ-MGB,25.9401016235,25.9395828247,0.0007336923,,,,0,0.02,1,3,24,,N,N,N
C11,NPF_T0_R1_Ss_S6-6,C,UNKNOWN,VIC,NFQ-MGB,32.1964111328,31.7698745728,0.603215158,,,,0,0.02,1,3,31,,Y,N,N
C11,NPF_T0_R1_Ss_S6-6,D,UNKNOWN,FAM,NFQ-MGB,24.6036224365,24.7151412964,0.1577128321,,,,0,0.02,1,3,23,,Y,N,N
C12,NPF_T0_R1_Ss_S6-13,C,UNKNOWN,VIC,NFQ-MGB,33.1135406494,32.5238380432,0.8339667916,,,,0,0.02,1,3,32,,Y,N,N
C12,NPF_T0_R1_Ss_S6-13,D,UNKNOWN,FAM,NFQ-MGB,22.6858634949,22.6647148132,0.0299087521,,,,0,0.02,1,3,21,,Y,N,N
D1,NPF_T0_R1_Ss_S1-5,C,UNKNOWN,VIC,NFQ-MGB,28.2725086212,28.1116714478,0.2274594605,,,,0,0.02,1,3,26,,N,N,N
D1,NPF_T0_R1_Ss_S1-5,D,UNKNOWN,FAM,NFQ-MGB,26.376947403,26.0658760071,0.43992275,,,,0,0.02,1,3,25,,N,N,N
D2,NPF_T0_R1_Ss_S1-18,C,UNKNOWN,VIC,NFQ-MGB,32.0215988159,32.197013855,0.24807702,,,,0,0.02,1,3,30,,N,N,N
D2,NPF_T0_R1_Ss_S1-18,D,UNKNOWN,FAM,NFQ-MGB,26.1423053741,26.0558986664,0.1221975386,,,,0,0.02,1,3,24,,N,N,N
D3,NPF_T0_R1_Ss_S2-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D3,NPF_T0_R1_Ss_S2-28,D,UNKNOWN,FAM,NFQ-MGB,24.7871074677,25.0913524628,0.4302673936,,,,0,0.02,1,3,23,,N,Y,Y
D4,NPF_T0_R1_Ss_S2-30,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D4,NPF_T0_R1_Ss_S2-30,D,UNKNOWN,FAM,NFQ-MGB,25.4179763794,25.3257102966,0.1304825991,,,,0,0.02,1,3,24,,N,Y,Y
D5,NPF_T0_R1_Ss_S3-1,C,UNKNOWN,VIC,NFQ-MGB,29.1109485626,28.9881572723,0.1736531109,,,,0,0.02,1,3,28,,N,N,N
D5,NPF_T0_R1_Ss_S3-1,D,UNKNOWN,FAM,NFQ-MGB,25.8605594635,25.7725143433,0.1245146021,,,,0,0.02,1,3,24,,N,N,N
D6,NPF_T0_R1_Ss_S3-28,C,UNKNOWN,VIC,NFQ-MGB,29.7870979309,29.7470397949,0.0566507578,,,,0,0.02,1,3,28,,N,N,N
D6,NPF_T0_R1_Ss_S3-28,D,UNKNOWN,FAM,NFQ-MGB,25.4451122284,25.3590011597,0.1217780933,,,,0,0.02,1,3,24,,N,N,N
D7,NPF_T0_R1_Ss_S4-10,C,UNKNOWN,VIC,NFQ-MGB,27.3626594543,27.1474971771,0.3042854071,,,,0,0.02,1,3,26,,N,N,N
D7,NPF_T0_R1_Ss_S4-10,D,UNKNOWN,FAM,NFQ-MGB,25.2092819214,25.23462677,0.0358443782,,,,0,0.02,1,3,23,,N,N,N
D8,NPF_T0_R1_Ss_S4-17,C,UNKNOWN,VIC,NFQ-MGB,27.4252262115,27.4395256042,0.0202210471,,,,0,0.02,1,3,26,,N,N,N
