Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate31.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-09 14:42:27 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NP_T3_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,24.5914955139,24.5072040558,0.1192061231,,,,0,0.02,1,3,23,,N,N,N
A2,NP_T3_R1_Ss_S1-24,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3165740967,22.1288452148,0.2654887438,,,,0,0.02,1,3,20,,N,N,N
A3,NP_T3_R1_Ss_S2-3,Ssid,UNKNOWN,FAM,NFQ-MGB,22.4024715424,22.1709976196,0.3273522258,,,,0,0.02,1,3,20,,N,N,N
A4,NP_T3_R1_Ss_S2-9,Ssid,UNKNOWN,FAM,NFQ-MGB,23.2426719666,22.9655189514,0.3919535577,,,,0,0.02,1,3,21,,N,N,N
A5,NP_T3_R1_Ss_S3-21,Ssid,UNKNOWN,FAM,NFQ-MGB,27.502822876,26.2883529663,1.7175211906,,,,0,0.02,1,3,25,,Y,N,N
A6,NP_T3_R1_Ss_S3-26,Ssid,UNKNOWN,FAM,NFQ-MGB,23.9357719421,24.0704574585,0.1904740781,,,,0,0.02,1,3,22,,N,N,N
A7,NP_T3_R1_Ss_S4-1,Ssid,UNKNOWN,FAM,NFQ-MGB,23.3343582153,23.0594749451,0.388743639,,,,0,0.02,1,3,21,,N,N,N
A8,NP_T3_R1_Ss_S4-2,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8508453369,22.6973190308,0.2171176374,,,,0,0.02,1,3,21,,N,N,N
A9,NP_T3_R1_Ss_S5-1,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4936466217,22.8311271667,0.9369440079,,,,0,0.02,1,3,21,,Y,N,N
A10,NP_T3_R1_Ss_S5-12,Ssid,UNKNOWN,FAM,NFQ-MGB,22.9306678772,22.0140113831,1.2963466644,,,,0,0.02,1,3,21,,Y,N,N
A11,NP_T3_R1_Ss_S6-3,Ssid,UNKNOWN,FAM,NFQ-MGB,24.4490470886,23.8250465393,0.8824687004,,,,0,0.02,1,3,23,,Y,N,N
A12,NP_T3_R1_Ss_S6-18,Ssid,UNKNOWN,FAM,NFQ-MGB,26.8519592285,25.7458362579,1.5642940998,,,,0,0.02,1,3,25,,Y,N,N
B1,NP_T3_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,24.4229125977,24.5072040558,0.1192061231,,,,0,0.02,1,3,22,,N,N,N
B2,NP_T3_R1_Ss_S1-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.941116333,22.1288452148,0.2654887438,,,,0,0.02,1,3,19,,N,N,N
B3,NP_T3_R1_Ss_S2-3,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9395256042,22.1709976196,0.3273522258,,,,0,0.02,1,3,20,,N,N,N
B4,NP_T3_R1_Ss_S2-9,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6883659363,22.9655189514,0.3919535577,,,,0,0.02,1,3,21,,N,N,N
B5,NP_T3_R1_Ss_S3-21,Ssid,UNKNOWN,FAM,NFQ-MGB,25.0738811493,26.2883529663,1.7175211906,,,,0,0.02,1,3,23,,Y,N,N
B6,NP_T3_R1_Ss_S3-26,Ssid,UNKNOWN,FAM,NFQ-MGB,24.2051429749,24.0704574585,0.1904740781,,,,0,0.02,1,3,22,,N,N,N
B7,NP_T3_R1_Ss_S4-1,Ssid,UNKNOWN,FAM,NFQ-MGB,22.7845916748,23.0594749451,0.388743639,,,,0,0.02,1,3,21,,N,N,N
