Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate16.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 18:42:06 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
C2,C_T2_R2_Ss_S2-2,B,UNKNOWN,FAM,NFQ-MGB,39.3979377747,39.3979377747,,,,,0,0.02,1,3,35,,N,N,N
C3,C_T2_R2_Ss_S2-2,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5099849701,21.5204086304,0.0147426305,,,,1,0.02,1,3,19,,N,N,N
C4,C_T2_R2_Ss_S2-2,Ssid,UNKNOWN,FAM,NFQ-MGB,21.530834198,21.5204086304,0.0147426305,,,,1,0.02,1,3,19,,N,N,N
C5,C_T2_R2_Ss_S2-2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C5,C_T2_R2_Ss_S2-2,D,UNKNOWN,FAM,NFQ-MGB,25.2334022522,25.1998214722,0.0474890471,,,,1,0.02,1,3,23,,N,Y,Y
C6,C_T2_R2_Ss_S2-2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
C6,C_T2_R2_Ss_S2-2,D,UNKNOWN,FAM,NFQ-MGB,25.1662425995,25.1998214722,0.0474890471,,,,1,0.02,1,3,23,,N,Y,Y
C7,C_T2_R2_Ss_S6-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.761806488,,,,,1,0.02,1,3,39,,Y,Y,Y
C7,C_T2_R2_Ss_S6-23,D,UNKNOWN,FAM,NFQ-MGB,25.9274158478,24.6380729675,1.3787463903,,,,1,0.02,1,3,24,,Y,Y,Y
C8,C_T2_R2_Ss_S6-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.761806488,,,,,1,0.02,1,3,39,,Y,Y,Y
C8,C_T2_R2_Ss_S6-23,D,UNKNOWN,FAM,NFQ-MGB,25.7318382263,24.6380729675,1.3787463903,,,,1,0.02,1,3,24,,Y,Y,Y
C9,C_T2_R2_Ss_S6-23,Ssid,UNKNOWN,FAM,NFQ-MGB,24.0836601257,22.747089386,1.8416637182,,,,1,0.02,1,3,22,,Y,N,N
C10,C_T2_R2_Ss_S6-23,Ssid,UNKNOWN,FAM,NFQ-MGB,24.5799846649,22.747089386,1.8416637182,,,,1,0.02,1,3,22,,Y,N,N
C11,C_T2_R2_Ss_S6-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.3754615784,,,,,0,0.02,1,3,38,,N,N,Y
C12,C_T2_R2_Ss_S6-23,B,UNKNOWN,FAM,NFQ-MGB,39.3754615784,39.3754615784,,,,,0,0.02,1,3,35,,N,N,N
D1,C_T2_R2_Ss_S2-10,B,UNKNOWN,FAM,NFQ-MGB,39.0482978821,39.0482978821,,,,,0,0.02,1,3,35,,N,N,N
D2,C_T2_R2_Ss_S2-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.0482978821,,,,,0,0.02,1,3,39,,N,Y,Y
D3,C_T2_R2_Ss_S2-10,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0598430634,21.1997337341,0.1978339404,,,,1,0.02,1,3,19,,N,N,N
D4,C_T2_R2_Ss_S2-10,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3396224976,21.1997337341,0.1978339404,,,,1,0.02,1,3,19,,N,N,N
D5,C_T2_R2_Ss_S2-10,C,UNKNOWN,VIC,NFQ-MGB,34.6936798096,34.6834259033,0.0145039111,,,,1,0.02,1,3,33,,N,N,N
D5,C_T2_R2_Ss_S2-10,D,UNKNOWN,FAM,NFQ-MGB,25.9746379852,25.9508724213,0.033609584,,,,1,0.02,1,3,24,,N,N,N
D6,C_T2_R2_Ss_S2-10,C,UNKNOWN,VIC,NFQ-MGB,34.6731681824,34.6834259033,0.0145039111,,,,1,0.02,1,3,33,,N,N,N
D6,C_T2_R2_Ss_S2-10,D,UNKNOWN,FAM,NFQ-MGB,25.9271068573,25.9508724213,0.033609584,,,,1,0.02,1,3,24,,N,N,N
D7,C_T2_R2_Ss_S6-26,C,UNKNOWN,VIC,NFQ-MGB,34.3303337097,34.4310913086,0.1424954534,,,,1,0.02,1,3,33,,N,N,N
D7,C_T2_R2_Ss_S6-26,D,UNKNOWN,FAM,NFQ-MGB,26.3883991241,26.4181251526,0.0420402996,,,,1,0.02,1,3,24,,N,N,N
D8,C_T2_R2_Ss_S6-26,C,UNKNOWN,VIC,NFQ-MGB,34.5318527222,34.4310913086,0.1424954534,,,,1,0.02,1,3,33,,N,N,N
D8,C_T2_R2_Ss_S6-26,D,UNKNOWN,FAM,NFQ-MGB,26.4478530884,26.4181251526,0.0420402996,,,,1,0.02,1,3,24,,N,N,N
D9,C_T2_R2_Ss_S6-26,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4553394318,23.5522651672,0.1370750368,,,,1,0.02,1,3,21,,N,N,N
D10,C_T2_R2_Ss_S6-26,Ssid,UNKNOWN,FAM,NFQ-MGB,23.6491928101,23.5522651672,0.1370750368,,,,1,0.02,1,3,21,,N,N,N
D11,C_T2_R2_Ss_S6-26,B,UNKNOWN,FAM,NFQ-MGB,39.211566925,39.211566925,,,,,0,0.02,1,3,35,,N,N,N
D12,C_T2_R2_Ss_S6-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.211566925,,,,,0,0.02,1,3,39,,N,N,Y
E1,C_T2_R2_Ss_S3-4,B,UNKNOWN,FAM,NFQ-MGB,38.4028816223,37.7324142456,0.9481867552,,,,0,0.02,1,3,35,,Y,N,N
E2,C_T2_R2_Ss_S3-4,B,UNKNOWN,FAM,NFQ-MGB,37.0619430542,37.7324142456,0.9481867552,,,,0,0.02,1,3,35,,Y,N,N
E3,C_T2_R2_Ss_S3-4,Ssid,UNKNOWN,FAM,NFQ-MGB,23.3879165649,23.4779129028,0.1272753924,,,,1,0.02,1,3,21,,N,N,N
E4,C_T2_R2_Ss_S3-4,Ssid,UNKNOWN,FAM,NFQ-MGB,23.5679111481,23.4779129028,0.1272753924,,,,1,0.02,1,3,21,,N,N,N
E5,C_T2_R2_Ss_S3-4,C,UNKNOWN,VIC,NFQ-MGB,26.4503326416,26.640291214,0.2686419785,,,,1,0.02,1,3,25,,N,N,N
E5,C_T2_R2_Ss_S3-4,D,UNKNOWN,FAM,NFQ-MGB,28.8580589294,28.9503479004,0.1305176616,,,,1,0.02,1,3,27,,N,N,N
E6,C_T2_R2_Ss_S3-4,C,UNKNOWN,VIC,NFQ-MGB,26.8302497864,26.640291214,0.2686419785,,,,1,0.02,1,3,25,,N,N,N
E6,C_T2_R2_Ss_S3-4,D,UNKNOWN,FAM,NFQ-MGB,29.0426387787,28.9503479004,0.1305176616,,,,1,0.02,1,3,27,,N,N,N
E7,C_T1_R1_Ss_S4-8,C,UNKNOWN,VIC,NFQ-MGB,25.404291153,25.3558616638,0.0684909895,,,,1,0.02,1,3,24,,N,N,N
E7,C_T1_R1_Ss_S4-8,D,UNKNOWN,FAM,NFQ-MGB,26.391450882,26.5026378632,0.1572421342,,,,1,0.02,1,3,24,,N,N,N
E8,C_T1_R1_Ss_S4-8,C,UNKNOWN,VIC,NFQ-MGB,25.3074302673,25.3558616638,0.0684909895,,,,1,0.02,1,3,24,,N,N,N
E8,C_T1_R1_Ss_S4-8,D,UNKNOWN,FAM,NFQ-MGB,26.6138248444,26.5026378632,0.1572421342,,,,1,0.02,1,3,25,,N,N,N
E9,C_T1_R1_Ss_S4-8,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3852100372,22.4915122986,0.1503341049,,,,1,0.02,1,3,20,,N,N,N
