Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate5.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-06 18:28:54 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,C_T2_R1_Ss_S1-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.9375267029,,,,,0,0.02,1,3,39,,N,Y,Y
A2,C_T2_R1_Ss_S1-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,C_T2_R1_Ss_S2-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A4,C_T2_R1_Ss_S2-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A5,C_T2_R1_Ss_S3-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A6,C_T2_R1_Ss_S3-29,B,UNKNOWN,FAM,NFQ-MGB,39.8610610962,39.8610610962,,,,,0,0.02,1,3,35,,N,N,N
A7,C_T2_R1_Ss_S4-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A8,C_T2_R1_Ss_S4-12,B,UNKNOWN,FAM,NFQ-MGB,38.3032951355,38.3032951355,,,,,0,0.02,1,3,35,,N,N,N
A9,C_T2_R1_Ss_S5-9,B,UNKNOWN,FAM,NFQ-MGB,37.7254562378,38.3967132568,0.949300766,,,,0,0.02,1,3,35,,Y,N,N
A10,C_T2_R1_Ss_S5-24,B,UNKNOWN,FAM,NFQ-MGB,39.2997970581,39.2997970581,,,,,0,0.02,1,3,35,,N,N,N
A11,C_T2_R1_Ss_S6-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A12,C_T2_R1_Ss_S6-20,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B1,C_T2_R1_Ss_S1-10,B,UNKNOWN,FAM,NFQ-MGB,37.9375267029,37.9375267029,,,,,0,0.02,1,3,35,,N,N,N
B2,C_T2_R1_Ss_S1-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,C_T2_R1_Ss_S2-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B4,C_T2_R1_Ss_S2-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B5,C_T2_R1_Ss_S3-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B6,C_T2_R1_Ss_S3-29,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.8610610962,,,,,0,0.02,1,3,39,,N,Y,Y
B7,C_T2_R1_Ss_S4-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B8,C_T2_R1_Ss_S4-12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.3032951355,,,,,0,0.02,1,3,39,,N,Y,Y
B9,C_T2_R1_Ss_S5-9,B,UNKNOWN,FAM,NFQ-MGB,39.0679702759,38.3967132568,0.949300766,,,,0,0.02,1,3,35,,Y,N,N
B10,C_T2_R1_Ss_S5-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2997970581,,,,,0,0.02,1,3,39,,N,Y,Y
B11,C_T2_R1_Ss_S6-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,C_T2_R1_Ss_S6-20,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C1,C_T2_R1_Ss_S1-10,Ssid,UNKNOWN,FAM,NFQ-MGB,26.1289615631,26.0963554382,0.0461106747,,,,0,0.02,1,3,23,,N,N,N
C2,C_T2_R1_Ss_S1-26,Ssid,UNKNOWN,FAM,NFQ-MGB,27.4694519043,27.3755054474,0.1328603476,,,,0,0.02,1,3,25,,N,N,N
C3,C_T2_R1_Ss_S2-11,Ssid,UNKNOWN,FAM,NFQ-MGB,31.0177841187,31.0815467834,0.0901753753,,,,0,0.02,1,3,28,,N,N,N
C4,C_T2_R1_Ss_S2-22,Ssid,UNKNOWN,FAM,NFQ-MGB,25.6041526794,25.7241973877,0.1697701961,,,,0,0.02,1,3,23,,N,N,N
C5,C_T2_R1_Ss_S3-18,Ssid,UNKNOWN,FAM,NFQ-MGB,28.2984485626,28.198097229,0.1419182122,,,,0,0.02,1,3,25,,N,N,N
C6,C_T2_R1_Ss_S3-29,Ssid,UNKNOWN,FAM,NFQ-MGB,25.9065628052,25.8902339935,0.0230924264,,,,0,0.02,1,3,23,,N,N,N
