Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate22.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-27 16:09:12 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NPF_T1_R1_Ss_S1-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,NPF_T1_R1_Ss_S1-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,NPF_T1_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.129529953,20.3715896606,0.3423241079,,,,1,0.02,1,3,18,,N,N,N
A4,NPF_T1_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6136493683,20.3715896606,0.3423241079,,,,1,0.02,1,3,18,,N,N,N
A5,NPF_T1_R1_Ss_S1-5,C,UNKNOWN,VIC,NFQ-MGB,27.2579574585,27.5515365601,0.4151848853,,,,1,0.02,1,3,26,,N,N,N
A5,NPF_T1_R1_Ss_S1-5,D,UNKNOWN,FAM,NFQ-MGB,26.9174785614,27.1741867065,0.3630401492,,,,1,0.02,1,3,25,,N,N,N
A6,NPF_T1_R1_Ss_S1-5,C,UNKNOWN,VIC,NFQ-MGB,27.845117569,27.5515365601,0.4151848853,,,,1,0.02,1,3,26,,N,N,N
A6,NPF_T1_R1_Ss_S1-5,D,UNKNOWN,FAM,NFQ-MGB,27.4308948517,27.1741867065,0.3630401492,,,,1,0.02,1,3,26,,N,N,N
A7,NPF_T1_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
A7,NPF_T1_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,26.0919456482,25.9882164001,0.1466966569,,,,1,0.02,1,3,24,,N,Y,Y
