row.names,ID,Colony,Core,Treatment,Time,Repli,Spp,Sample,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,Ssid.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,Ssid.CT.sd,A.reps,B.reps,C.reps,D.reps,Ssid.reps,A.SH,B.SH,C.SH,D.SH,Sample.Time,tot.SH,logTot.SH,logB.SH,logC.SH,logD.SH,D.Prp,C.Prp,C.Prp.t,D.Prp.t,logA.SH,Community,Ran
515,T3_S6-14.P38_Ssid_T3_D_R1-2.csv,S6,14,D,T3,R1,Ss,S6-14,P38_Ssid_T3_D_R1-2.csv,NA,NA,29.664097168,25.556342125,19.8178933945,NA,NA,1.52302661,0.0110984453,2.293178333,0,0,2,2,2,0,0,5.24902032321361E-005,0.0150828873,T3_S6-14,0.0151353775,-1.8200067418,NA,-4.2799217457,-1.8215155133,0.9965319528,0.0034680472,0.0589242202,1.5118721066,NA,D,2
537,T3_S5-4.P39_Ssid_T3_CO2_R1-2.csv,S5,4,CO2,T3,R1,Ss,S5-4,P39_Ssid_T3_CO2_R1-2.csv,NA,NA,30.2651847382,25.9442625046,17.3307432022,NA,NA,1.7711575827,0.0593656906,0.1065620687,0,0,2,2,2,0,0,0.000006172,0.0020559001,T3_S5-4,0.0020620721,-2.6856961561,NA,-5.209573946,-2.6869979951,0.9970068932,0.0029931068,0.0547366219,1.5160597049,NA,D,2
555,T0_S5-5.P40ER15_Ssid_T0T3_CO2_R1-2.csv,S5,5,NPF,T0,R1,Ss,S5-5,P40ER15_Ssid_T0T3_CO2_R1-2.csv,NA,NA,30.2381785889,24.5822696686,13.673047432,NA,NA,1.75153401,0.0074583063,0.3870024783,0,0,2,2,2,0,0,4.98287018749778E-007,0.0004187228,T0_S5-5,0.000419221,-3.3775569291,NA,-6.3025204268,-3.3780734394,0.9988113979,0.0011886021,0.0344829429,1.5363133839,NA,D,3
653,T3_S6-22.P45_Ssid_ReRuns.csv,S6,22,CO2,T3,R2,Ss,S6-22,P45_Ssid_ReRuns.csv,NA,NA,28.1652225037,25.1046800614,16.295815834,NA,NA,NA,0.3963516607,0.4722672387,0,0,1,2,2,0,0,0,0.0017955493,T3_S6-22,0.0017955493,-2.745802677,NA,NA,-2.745802677,1,0,0,1.5707963268,NA,D,2
656,T3_S6-23.P45_Ssid_ReRuns.csv,S6,23,C,T3,R1,Ss,S6-23,P45_Ssid_ReRuns.csv,NA,NA,31.0576976318,26.8386707306,19.1289428559,NA,NA,NA,0.7324596279,0.9678265117,0,0,1,2,2,0,0,0,0.0038465407,T3_S6-23,0.0038465407,-2.4149296656,NA,NA,-2.4149296656,1,0,0,1.5707963268,NA,D,2
660,T3_S5-22.P45_Ssid_ReRuns.csv,S5,22,D,T3,R1,Ss,S5-22,P45_Ssid_ReRuns.csv,NA,NA,28.3561786194,25.5423240662,18.8786119309,NA,NA,NA,0.1366286189,1.4284949377,0,0,1,2,2,0,0,0,0.0079424127,T3_S5-22,0.0079424127,-2.1000475521,NA,NA,-2.1000475521,1,0,0,1.5707963268,NA,D,2
662,T0_S3-12.P45_Ssid_ReRuns.csv,S3,12,Fe,T0,R1,Ss,S3-12,P45_Ssid_ReRuns.csv,NA,NA,31.7809642334,35.9408054352,20.5808805314,NA,NA,0.5382982005,2.2403430437,0.4239217689,0,0,2,2,2,0,0,2.05361858151387E-005,1.9148358768262E-005,T0_S3-12,3.96845445834007E-005,-4.4013785993,NA,-4.6874802147,-4.7178684441,0.4825142627,0.5174857373,0.8028874669,0.7679088599,NA,CD,3
663,T1_S6-1.P45_Ssid_ReRuns.csv,S6,1,Fe,T1,R1,Ss,S6-1,P45_Ssid_ReRuns.csv,NA,NA,31.0130771179,26.9456605912,16.9080985871,NA,NA,NA,0.99496099,0.3949179935,0,0,1,2,2,0,0,0,0.0007661652,T1_S6-1,0.0007661652,-3.1156775634,NA,NA,-3.1156775634,1,0,0,1.5707963268,NA,D,2
666,T0_S6-10.P45_Ssid_ReRuns.csv,S6,10,NPF,T0,R2,Ss,S6-10,P45_Ssid_ReRuns.csv,NA,NA,30.4172824402,24.553109169,14.9408878174,NA,NA,2.8235987818,0.0028039455,0.1716327567,0,0,2,2,2,0,0,1.05979514909379E-006,0.0010288753,T0_S6-10,0.0010299351,-2.987190153,NA,-5.9747780727,-2.9876372687,0.9989710078,0.0010289922,0.0320834121,1.5387129147,NA,D,2
223,T2_S4-18.P24_Ssid_T2_NPF_R2.csv,S4,18,NPF,T2,R2,Ss,S4-18,P24_Ssid_T2_NPF_R2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,T2_S4-18.P26_Ssid_T1_NP_R1.csv,S4,18,NPF,,R2,Ss,S4-18,P26_Ssid_T1_NP_R1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,T1_S6-19.P47_Ssid_T0_CO2_R2.csv,S6,19,CO2,T1,R1,Ss,S6-19,P47_Ssid_T0_CO2_R2.csv,,,NA,23.6706228257,12.14670504,NA,0.1205534737,0.1247209541,0,0,0,2,2,0,0,0,0.0002734543,T1_S6-19,,0.0002734543,-3.5631152379,NA,NA,-3.5631152379,1,0,NA,D,2,2,2,
608,T2_S5-16.P44_Ssid_T2_CO2_R1-2.csv,S5,16,CO2,T2,R2,Ss,S5-16,P44_Ssid_T2_CO2_R1-2.csv,,,27.1860450287,25.8919000626,12.7873748627,0.0751063584,0.0254647887,2.427305115,0,0,2,2,2,0,0,2.23691414555306E-006,0.000091427,T2_S5-16,,9.36639245796261E-005,-4.028427649,NA,-5.6503506841,-4.038925481,0.9761176552,0,NA,D,2,2,2,
22,T2_S5-25.P04_Ssid_T2_Fe_R1.csv,S5,25,Fe,T2,R1,Ss,S5-25,P04_Ssid_T2_Fe_R1.csv,,,NA,34.0312728882,24.4599431839,NA,0.837374935,0.1221800049,0,0,0,2,2,0,0,0,0.0010584549,T2_S5-25,,0.0010584549,-2.9753276562,NA,NA,-2.9753276562,1,0,NA,D,2,2,2,
270,T2_S6-8.P28_Ssid_T2_NP_R2.csv,S6,8,NP,T2,R2,Ss,S6-8,P28_Ssid_T2_NP_R2.csv,,,32.503311493,25.1714172364,13.9639915314,2.402146481,0.6542512614,0.0564916127,0,0,2,2,2,0,0,1.26820518918811E-007,0.0003405323,T2_S6-8,,0.0003406592,-3.4676799191,NA,-6.8968104741,-3.4678416282,0.9996277202,0,NA,D,2,2,2,
