Day ,Spp_,Treatment_,Rep_,Core_,Y(II),Sample.Time
30/06/15,Mc,Control,R1,M10-11,0.579,T0_M10-11
30/06/15,Mc,Control,R1,M10-19,0.576,T0_M10-19
30/06/15,Mc,Control,R1,M11-1,0.577,T0_M11-1
30/06/15,Mc,Control,R1,M11-7,0.582,T0_M11-7
30/06/15,Mc,Control,R1,M9-12,0.583,T0_M9-12
30/06/15,Mc,Control,R1,M9-26,0.565,T0_M9-26
30/06/15,Ss,Control,R1,S1-10,0.525,T0_S1-10
30/06/15,Ss,Control,R1,S1-26,0.528,T0_S1-26
30/06/15,Ss,Control,R1,S2-11,0.556,T0_S2-11
30/06/15,Ss,Control,R1,S2-22,0.556,T0_S2-22
30/06/15,Ss,Control,R1,S3-18,0.522,T0_S3-18
30/06/15,Ss,Control,R1,S3-29,0.52,T0_S3-29
30/06/15,Ss,Control,R1,S4-8,0.544,T0_S4-8
30/06/15,Ss,Control,R1,S4-12,0.533,T0_S4-12
30/06/15,Ss,Control,R1,S5-9,0.525,T0_S5-9
30/06/15,Ss,Control,R1,S5-24,0.507,T0_S5-24
30/06/15,Ss,Control,R1,S6-5,0.539,T0_S6-5
30/06/15,Ss,Control,R1,S6-20,0.527,T0_S6-20
30/06/15,Mc,N,R2,M1-1,0.547,T0_M1-1
30/06/15,Mc,N,R2,M1-7,0.551,T0_M1-7
30/06/15,Mc,N,R2,M7-3,0.594,T0_M7-3
30/06/15,Mc,N,R2,M7-23,0.539,T0_M7-23
30/06/15,Mc,N,R2,M8-15,0.629,T0_M8-15
30/06/15,Mc,N,R2,M8-16,0.618,T0_M8-16
30/06/15,Mc,N,R2,M10-12,0.581,T0_M10-12
30/06/15,Mc,N,R2,M10-31,0.576,T0_M10-31
30/06/15,Mc,N,R2,M11-17,0.581,T0_M11-17
30/06/15,Mc,N,R2,M11-20,0.583,T0_M11-20
30/06/15,Mc,N,R2,M9-6,0.567,T0_M9-6
30/06/15,Mc,N,R2,M9-10,0.572,T0_M9-10
30/06/15,Ss,N,R2,S1-8,0.522,T0_S1-8
30/06/15,Ss,N,R2,S1-30,0.513,T0_S1-30
30/06/15,Ss,N,R2,S2-7,0.56,T0_S2-7
30/06/15,Ss,N,R2,S2-18,0.55,T0_S2-18
30/06/15,Ss,N,R2,S3-25,0.518,T0_S3-25
30/06/15,Ss,N,R2,S3-30,0.546,T0_S3-30
30/06/15,Ss,N,R2,S4-7,0.531,T0_S4-7
30/06/15,Ss,N,R2,S4-22,0.525,T0_S4-22
30/06/15,Ss,N,R2,S5-17,0.538,T0_S5-17
30/06/15,Ss,N,R2,S5-18,0.536,T0_S5-18
30/06/15,Ss,N,R2,S6-27,0.534,T0_S6-27
30/06/15,Ss,N,R2,S6-29,0.531,T0_S6-29
30/06/15,Mc,NPF,R2,M1-10,0.547,T0_M1-10
30/06/15,Mc,NPF,R2,M1-21,0.554,T0_M1-21
30/06/15,Mc,NPF,R2,M7-18,0.549,T0_M7-18
30/06/15,Mc,NPF,R2,M7-27,0.568,T0_M7-27
30/06/15,Mc,NPF,R2,M8-24,0.611,T0_M8-24
30/06/15,Mc,NPF,R2,M8-30,0.61,T0_M8-30
30/06/15,Mc,NPF,R2,M10-10,0.578,T0_M10-10
30/06/15,Mc,NPF,R2,M10-26,0.579,T0_M10-26
30/06/15,Mc,NPF,R2,M11-10,0.566,T0_M11-10
30/06/15,Mc,NPF,R2,M11-15,0.577,T0_M11-15
30/06/15,Mc,NPF,R2,M9-2,0.569,T0_M9-2
30/06/15,Mc,NPF,R2,M9-14,0.56,T0_M9-14
30/06/15,Ss,NPF,R2,S1-2,0.522,T0_S1-2
30/06/15,Ss,NPF,R2,S1-28,0.534,T0_S1-28
30/06/15,Ss,NPF,R2,S2-14,0.574,T0_S2-14
30/06/15,Ss,NPF,R2,S2-23,0.553,T0_S2-23
30/06/15,Ss,NPF,R2,S3-13,0.543,T0_S3-13
30/06/15,Ss,NPF,R2,S3-16,0.567,T0_S3-16
30/06/15,Ss,NPF,R2,S4-13,0.536,T0_S4-13
30/06/15,Ss,NPF,R2,S4-18,0.533,T0_S4-18
30/06/15,Ss,NPF,R2,S5-19,0.547,T0_S5-19
30/06/15,Ss,NPF,R2,S5-21,0.563,T0_S5-21
30/06/15,Ss,NPF,R2,S6-10,0.558,T0_S6-10
30/06/15,Ss,NPF,R2,S6-25,0.55,T0_S6-25
30/06/15,Mc,NP,R2,M1-11,0.525,T0_M1-11
30/06/15,Mc,NP,R2,M1-23,0.53,T0_M1-23
30/06/15,Mc,NP,R2,M7-13,0.544,T0_M7-13
30/06/15,Mc,NP,R2,M7-19,0.536,T0_M7-19
30/06/15,Mc,NP,R2,M8-6,0.601,T0_M8-6
30/06/15,Mc,NP,R2,M8-14,0.598,T0_M8-14
30/06/15,Mc,NP,R2,M10-18,0.567,T0_M10-18
30/06/15,Mc,NP,R2,M10-24,0.577,T0_M10-24
30/06/15,Mc,NP,R2,M11-3,0.563,T0_M11-3
30/06/15,Mc,NP,R2,M11-16,0.573,T0_M11-16
30/06/15,Mc,NP,R2,M9-5,0.566,T0_M9-5
30/06/15,Mc,NP,R2,M9-20,0.562,T0_M9-20
30/06/15,Ss,NP,R2,S1-11,0.528,T0_S1-11
30/06/15,Ss,NP,R2,S1-14,0.539,T0_S1-14
30/06/15,Ss,NP,R2,S2-8,0.564,T0_S2-8
30/06/15,Ss,NP,R2,S2-13,0.568,T0_S2-13
30/06/15,Ss,NP,R2,S3-2,0.548,T0_S3-2
30/06/15,Ss,NP,R2,S3-17,0.562,T0_S3-17
30/06/15,Ss,NP,R2,S4-4,0.54,T0_S4-4
30/06/15,Ss,NP,R2,S4-16,0.52,T0_S4-16
30/06/15,Ss,NP,R2,S5-2,0.539,T0_S5-2
30/06/15,Ss,NP,R2,S5-8,0.52,T0_S5-8
30/06/15,Ss,NP,R2,S6-8,0.566,T0_S6-8
30/06/15,Ss,NP,R2,S6-31,0.541,T0_S6-31
30/06/15,Mc,Fe,R2,M1-9,0.549,T0_M1-9
30/06/15,Mc,Fe,R2,M1-12,0.567,T0_M1-12
30/06/15,Mc,Fe,R2,M7-25,0.567,T0_M7-25
30/06/15,Mc,Fe,R2,M7-28,0.57,T0_M7-28
30/06/15,Mc,Fe,R2,M8-4,0.617,T0_M8-4
30/06/15,Mc,Fe,R2,M8-26,0.615,T0_M8-26
30/06/15,Mc,Fe,R2,M10-17,0.579,T0_M10-17
30/06/15,Mc,Fe,R2,M10-20,0.588,T0_M10-20
30/06/15,Mc,Fe,R2,M11-13,0.595,T0_M11-13
30/06/15,Mc,Fe,R2,M11-25,0.582,T0_M11-25
30/06/15,Mc,Fe,R2,M9-9,0.57,T0_M9-9
30/06/15,Mc,Fe,R2,M9-23,0.56,T0_M9-23
30/06/15,Ss,Fe,R2,S1-12,0.523,T0_S1-12
30/06/15,Ss,Fe,R2,S1-16,0.539,T0_S1-16
30/06/15,Ss,Fe,R2,S2-4,0.569,T0_S2-4
30/06/15,Ss,Fe,R2,S2-31,0.571,T0_S2-31
30/06/15,Ss,Fe,R2,S3-7,0.571,T0_S3-7
30/06/15,Ss,Fe,R2,S3-11,0.575,T0_S3-11
30/06/15,Ss,Fe,R2,S4-26,0.536,T0_S4-26
30/06/15,Ss,Fe,R2,S4-28,0.541,T0_S4-28
30/06/15,Ss,Fe,R2,S5-13,0.534,T0_S5-13
30/06/15,Ss,Fe,R2,S5-23,0.564,T0_S5-23
30/06/15,Ss,Fe,R2,S6-15,0.558,T0_S6-15
30/06/15,Ss,Fe,R2,S6-21,0.548,T0_S6-21
30/06/15,Mc,Control,R2,M1-14,0.54,T0_M1-14
30/06/15,Mc,Control,R2,M1-22,0.557,T0_M1-22
30/06/15,Mc,Control,R2,M7-2,0.553,T0_M7-2
30/06/15,Mc,Control,R2,M7-7,0.559,T0_M7-7
30/06/15,Mc,Control,R2,M8-11,0.608,T0_M8-11
30/06/15,Mc,Control,R2,M8-13,0.609,T0_M8-13
30/06/15,Mc,Control,R2,M10-3,0.587,T0_M10-3
30/06/15,Mc,Control,R2,M10-15,0.583,T0_M10-15
30/06/15,Mc,Control,R2,M11-9,0.573,T0_M11-9
30/06/15,Mc,Control,R2,M11-11,0.587,T0_M11-11
30/06/15,Mc,Control,R2,M9-7,0.585,T0_M9-7
30/06/15,Mc,Control,R2,M9-13,0.559,T0_M9-13
30/06/15,Ss,Control,R2,S1-13,0.54,T0_S1-13
30/06/15,Ss,Control,R2,S1-23,0.539,T0_S1-23
30/06/15,Ss,Control,R2,S2-2,0.572,T0_S2-2
30/06/15,Ss,Control,R2,S2-10,0.551,T0_S2-10
30/06/15,Ss,Control,R2,S3-4,0.55,T0_S3-4
30/06/15,Ss,Control,R2,S3-20,0.551,T0_S3-20
30/06/15,Ss,Control,R2,S4-3,0.538,T0_S4-3
30/06/15,Ss,Control,R2,S4-24,0.541,T0_S4-24
30/06/15,Ss,Control,R2,S5-10,0.544,T0_S5-10
30/06/15,Ss,Control,R2,S5-15,0.557,T0_S5-15
30/06/15,Ss,Control,R2,S6-23,0.557,T0_S6-23
30/06/15,Ss,Control,R2,S6-26,0.552,T0_S6-26
30/06/15,Mc,CO2,R1,M1-3,0.555,T0_M1-3
30/06/15,Mc,CO2,R1,M1-8,0.529,T0_M1-8
30/06/15,Mc,CO2,R1,M7-11,0.555,T0_M7-11
30/06/15,Mc,CO2,R1,M7-20,0.553,T0_M7-20
30/06/15,Mc,CO2,R1,M8-5,0.617,T0_M8-5
30/06/15,Mc,CO2,R1,M8-21,0.623,T0_M8-21
30/06/15,Mc,CO2,R1,M10-2,0.597,T0_M10-2
30/06/15,Mc,CO2,R1,M10-16,0.596,T0_M10-16
30/06/15,Mc,CO2,R1,M11-6,0.596,T0_M11-6
30/06/15,Mc,CO2,R1,M11-29,0.601,T0_M11-29
30/06/15,Mc,CO2,R1,M9-1,0.592,T0_M9-1
30/06/15,Mc,CO2,R1,M9-21,0.58,T0_M9-21
30/06/15,Ss,CO2,R1,S1-21,0.52,T0_S1-21
30/06/15,Ss,CO2,R1,S1-29,0.509,T0_S1-29
30/06/15,Ss,CO2,R1,S2-6,0.569,T0_S2-6
30/06/15,Ss,CO2,R1,S2-19,0.549,T0_S2-19
30/06/15,Ss,CO2,R1,S3-22,0.54,T0_S3-22
30/06/15,Ss,CO2,R1,S3-31,0.565,T0_S3-31
30/06/15,Ss,CO2,R1,S4-5,0.551,T0_S4-5
30/06/15,Ss,CO2,R1,S4-23,0.545,T0_S4-23
30/06/15,Ss,CO2,R1,S5-4,0.546,T0_S5-4
30/06/15,Ss,CO2,R1,S5-20,0.573,T0_S5-20
30/06/15,Ss,CO2,R1,S6-4,0.569,T0_S6-4
30/06/15,Ss,CO2,R1,S6-19,0.566,T0_S6-19
30/06/15,Mc,Dark,R1,M1-4,0.566,T0_M1-4
30/06/15,Mc,Dark,R1,M1-16,0.546,T0_M1-16
30/06/15,Mc,Dark,R1,M7-21,0.534,T0_M7-21
30/06/15,Mc,Dark,R1,M7-26,0.54,T0_M7-26
30/06/15,Mc,Dark,R1,M8-7,0.621,T0_M8-7
30/06/15,Mc,Dark,R1,M8-28,0.622,T0_M8-28
30/06/15,Mc,Dark,R1,M10-6,0.598,T0_M10-6
30/06/15,Mc,Dark,R1,M10-22,0.598,T0_M10-22
30/06/15,Mc,Dark,R1,M11-4,0.6,T0_M11-4
30/06/15,Mc,Dark,R1,M11-21,0.606,T0_M11-21
30/06/15,Mc,Dark,R1,M9-28,0.593,T0_M9-28
30/06/15,Ss,Dark,R1,S1-4,0.535,T0_S1-4
30/06/15,Ss,Dark,R1,S1-19,0.546,T0_S1-19
30/06/15,Ss,Dark,R1,S2-20,0.569,T0_S2-20
30/06/15,Ss,Dark,R1,S2-29,0.572,T0_S2-29
30/06/15,Ss,Dark,R1,S3-3,0.571,T0_S3-3
30/06/15,Ss,Dark,R1,S3-19,0.567,T0_S3-19
30/06/15,Ss,Dark,R1,S4-21,0.541,T0_S4-21
30/06/15,Ss,Dark,R1,S4-30,0.549,T0_S4-30
30/06/15,Ss,Dark,R1,S5-3,0.563,T0_S5-3
30/06/15,Ss,Dark,R1,S5-22,0.581,T0_S5-22
30/06/15,Ss,Dark,R1,S6-9,0.594,T0_S6-9
30/06/15,Ss,Dark,R1,S6-14,0.571,T0_S6-14
30/06/15,Mc,Dark,R2,M1-18,0.547,T0_M1-18
30/06/15,Mc,Dark,R2,M7-8,0.546,T0_M7-8
30/06/15,Mc,Dark,R2,M7-31,0.528,T0_M7-31
30/06/15,Mc,Dark,R2,M8-20,0.595,T0_M8-20
30/06/15,Mc,Dark,R2,M8-23,0.611,T0_M8-23
30/06/15,Mc,Dark,R2,M10-5,0.583,T0_M10-5
30/06/15,Mc,Dark,R2,M10-14,0.569,T0_M10-14
30/06/15,Mc,Dark,R2,M11-5,0.582,T0_M11-5
30/06/15,Mc,Dark,R2,M11-27,0.591,T0_M11-27
30/06/15,Mc,Dark,R2,M9-16,0.472,T0_M9-16
30/06/15,Ss,Dark,R2,S1-7,0.528,T0_S1-7
30/06/15,Ss,Dark,R2,S1-22,0.524,T0_S1-22
30/06/15,Ss,Dark,R2,S2-1,0.574,T0_S2-1
30/06/15,Ss,Dark,R2,S2-15,0.561,T0_S2-15
30/06/15,Ss,Dark,R2,S3-9,0.554,T0_S3-9
30/06/15,Ss,Dark,R2,S3-27,0.548,T0_S3-27
30/06/15,Ss,Dark,R2,S4-14,0.533,T0_S4-14
30/06/15,Ss,Dark,R2,S4-25,0.537,T0_S4-25
30/06/15,Ss,Dark,R2,S5-6,0.547,T0_S5-6
30/06/15,Ss,Dark,R2,S6-11,0.547,T0_S6-11
30/06/15,Ss,Dark,R2,S6-17,0.545,T0_S6-17
30/06/15,Mc,CO2,R2,M1-2,0.553,T0_M1-2
30/06/15,Mc,CO2,R2,M1-15,0.553,T0_M1-15
30/06/15,Mc,CO2,R2,M7-5,0.598,T0_M7-5
30/06/15,Mc,CO2,R2,M7-30,0.544,T0_M7-30
30/06/15,Mc,CO2,R2,M8-1,0.631,T0_M8-1
30/06/15,Mc,CO2,R2,M8-8,0.629,T0_M8-8
30/06/15,Mc,CO2,R2,M10-7,0.602,T0_M10-7
30/06/15,Mc,CO2,R2,M10-8,0.606,T0_M10-8
30/06/15,Mc,CO2,R2,M11-26,0.617,T0_M11-26
30/06/15,Mc,CO2,R2,M11-32,0.606,T0_M11-32
30/06/15,Mc,CO2,R2,M9-18,0.581,T0_M9-18
30/06/15,Mc,CO2,R2,M9-19,0.583,T0_M9-19
30/06/15,Ss,CO2,R2,S1-3,0.505,T0_S1-3
30/06/15,Ss,CO2,R2,S1-20,0.509,T0_S1-20
30/06/15,Ss,CO2,R2,S2-5,0.567,T0_S2-5
30/06/15,Ss,CO2,R2,S2-27,0.557,T0_S2-27
30/06/15,Ss,CO2,R2,S3-15,0.555,T0_S3-15
30/06/15,Ss,CO2,R2,S3-24,0.54,T0_S3-24
30/06/15,Ss,CO2,R2,S4-6,0.55,T0_S4-6
30/06/15,Ss,CO2,R2,S4-20,0.536,T0_S4-20
30/06/15,Ss,CO2,R2,S5-16,0.566,T0_S5-16
30/06/15,Ss,CO2,R2,S5-26,0.562,T0_S5-26
30/06/15,Ss,CO2,R2,S6-2,0.573,T0_S6-2
30/06/15,Ss,CO2,R2,S6-22,0.551,T0_S6-22
08/04/15,Mc,NPF,R1,M1-6,0.58,T1_M1-6
08/04/15,Mc,NPF,R1,M1-25,0.601,T1_M1-25
08/04/15,Mc,NPF,R1,M7-1,0.548,T1_M7-1
08/04/15,Mc,NPF,R1,M7-16,0.534,T1_M7-16
08/04/15,Mc,NPF,R1,M8-10,0.593,T1_M8-10
08/04/15,Mc,NPF,R1,M8-19,0.6,T1_M8-19
08/04/15,Mc,NPF,R1,M10-9,0.581,T1_M10-9
08/04/15,Mc,NPF,R1,M10-25,0.564,T1_M10-25
08/04/15,Mc,NPF,R1,M11-22,0.555,T1_M11-22
08/04/15,Mc,NPF,R1,M11-24,0.55,T1_M11-24
08/04/15,Mc,NPF,R1,M9-3,0.534,T1_M9-3
08/04/15,Mc,NPF,R1,M9-17,0.515,T1_M9-17
08/04/15,Ss,NPF,R1,S1-5,0.558,T1_S1-5
08/04/15,Ss,NPF,R1,S1-18,0.577,T1_S1-18
08/04/15,Ss,NPF,R1,S2-28,0.579,T1_S2-28
08/04/15,Ss,NPF,R1,S2-30,0.58,T1_S2-30
08/04/15,Ss,NPF,R1,S3-1,0.557,T1_S3-1
08/04/15,Ss,NPF,R1,S3-28,0.547,T1_S3-28
08/04/15,Ss,NPF,R1,S4-10,0.547,T1_S4-10
08/04/15,Ss,NPF,R1,S4-17,0.564,T1_S4-17
08/04/15,Ss,NPF,R1,S5-5,0.514,T1_S5-5
08/04/15,Ss,NPF,R1,S5-27,0.494,T1_S5-27
08/04/15,Ss,NPF,R1,S6-6,0.549,T1_S6-6
08/04/15,Ss,NPF,R1,S6-13,0.52,T1_S6-13
08/04/15,Mc,NP,R1,M1-26,0.552,T1_M1-26
08/04/15,Mc,NP,R1,M1-28,0.555,T1_M1-28
08/04/15,Mc,NP,R1,M7-15,0.557,T1_M7-15
08/04/15,Mc,NP,R1,M7-17,0.53,T1_M7-17
08/04/15,Mc,NP,R1,M8-12,0.595,T1_M8-12
08/04/15,Mc,NP,R1,M8-17,0.577,T1_M8-17
08/04/15,Mc,NP,R1,M10-1,0.53,T1_M10-1
08/04/15,Mc,NP,R1,M10-27,0.555,T1_M10-27
08/04/15,Mc,NP,R1,M11-19,0.546,T1_M11-19
08/04/15,Mc,NP,R1,M11-30,0.527,T1_M11-30
08/04/15,Mc,NP,R1,M9-4,0.522,T1_M9-4
08/04/15,Mc,NP,R1,M9-22,0.493,T1_M9-22
08/04/15,Ss,NP,R1,S1-15,0.562,T1_S1-15
08/04/15,Ss,NP,R1,S1-24,0.541,T1_S1-24
08/04/15,Ss,NP,R1,S2-3,0.556,T1_S2-3
08/04/15,Ss,NP,R1,S2-9,0.569,T1_S2-9
08/04/15,Ss,NP,R1,S3-21,0.531,T1_S3-21
08/04/15,Ss,NP,R1,S3-26,0.538,T1_S3-26
08/04/15,Ss,NP,R1,S4-1,0.564,T1_S4-1
08/04/15,Ss,NP,R1,S4-2,0.553,T1_S4-2
08/04/15,Ss,NP,R1,S5-1,0.506,T1_S5-1
