Day ,Spp_,Treatment_,Rep_,Core_,Y(II),Sample.Time
08/04/15,Mc,Fe,R1,M9-24,0.497,T1_M9-24
08/04/15,Ss,Fe,R1,S1-6,0.527,T1_S1-6
08/04/15,Ss,Fe,R1,S1-9,0.55,T1_S1-9
08/04/15,Ss,Fe,R1,S2-16,0.564,T1_S2-16
08/04/15,Ss,Fe,R1,S2-25,0.543,T1_S2-25
08/04/15,Ss,Fe,R1,S3-6,0.56,T1_S3-6
08/04/15,Ss,Fe,R1,S3-12,0.533,T1_S3-12
08/04/15,Ss,Fe,R1,S4-9,0.556,T1_S4-9
08/04/15,Ss,Fe,R1,S4-11,0.534,T1_S4-11
08/04/15,Ss,Fe,R1,S5-14,0.512,T1_S5-14
08/04/15,Ss,Fe,R1,S5-25,0.523,T1_S5-25
08/04/15,Ss,Fe,R1,S6-1,0.529,T1_S6-1
08/04/15,Ss,Fe,R1,S6-12,0.525,T1_S6-12
08/04/15,Mc,Control,R1,M1-5,0.732,T1_M1-5
08/04/15,Mc,Control,R1,M1-27,0.738,T1_M1-27
08/04/15,Mc,Control,R1,M7-6,0.707,T1_M7-6
08/04/15,Mc,Control,R1,M7-22,0.722,T1_M7-22
08/04/15,Mc,Control,R1,M8-25,0.751,T1_M8-25
08/04/15,Mc,Control,R1,M8-31,0.746,T1_M8-31
08/04/15,Mc,Control,R1,M10-11,0.727,T1_M10-11
08/04/15,Mc,Control,R1,M10-19,0.726,T1_M10-19
08/04/15,Mc,Control,R1,M11-1,0.716,T1_M11-1
08/04/15,Mc,Control,R1,M11-7,0.712,T1_M11-7
08/04/15,Mc,Control,R1,M9-12,0.615,T1_M9-12
08/04/15,Mc,Control,R1,M9-26,0.662,T1_M9-26
08/04/15,Ss,Control,R1,S1-10,0.554,T1_S1-10
08/04/15,Ss,Control,R1,S1-26,0.563,T1_S1-26
08/04/15,Ss,Control,R1,S2-11,0.577,T1_S2-11
08/04/15,Ss,Control,R1,S2-22,0.576,T1_S2-22
08/04/15,Ss,Control,R1,S3-18,0.547,T1_S3-18
08/04/15,Ss,Control,R1,S3-29,0.559,T1_S3-29
08/04/15,Ss,Control,R1,S4-8,0.54,T1_S4-8
08/04/15,Ss,Control,R1,S4-12,0.533,T1_S4-12
08/04/15,Ss,Control,R1,S5-9,0.512,T1_S5-9
08/04/15,Ss,Control,R1,S5-24,0.505,T1_S5-24
08/04/15,Ss,Control,R1,S6-5,0.535,T1_S6-5
08/04/15,Ss,Control,R1,S6-20,0.517,T1_S6-20
08/04/15,Mc,N,R2,M1-1,0.595,T1_M1-1
08/04/15,Mc,N,R2,M1-7,0.608,T1_M1-7
08/04/15,Mc,N,R2,M7-3,0.613,T1_M7-3
08/04/15,Mc,N,R2,M7-23,0.583,T1_M7-23
08/04/15,Mc,N,R2,M8-15,0.617,T1_M8-15
08/04/15,Mc,N,R2,M8-16,0.609,T1_M8-16
